Agitatsiooni,(a|o).i(t|f)(a+|o+)(t|f)(s|f)+io+(n|u)
Herttuakunta,h(e|c)(r|c)(t+|f+)ua(k|f)un.(a|o)
Hetki,h(e|c)(t|f)(k|f)i
Historia,hi(s|f)(t|f)(o|a)(r|c)i(a|o)
Historiallinen,hi(s|f)t(o|a)(r|f)i(a|o)l+in(e|c)n
Historiankirjoittaja,hi(s|f)(t|f)(o|a)(r|c)(i|j)(a|o)n(k|f)i(r|f)(i|j)(o|a)i(t+|f+)
Historiankirjoitus,hi(s|f)(t|f)o(r|c)i(a|o)n(k|f)ir(i|j)(t|f)u(s|f)
Historioitsija,hi(s|f)(t|f)(o|a)(r|c)(i|j)(a|o)(i|j)(t|f)(i|j|ij)(a|o)
Hyöty,h(y|h)(o|ö|a|ä)(t|f)y
Idea,(i|j)(D|b|h)(e|c)(a|o)
Ihminen,(i|j)(h|b|d)(m|w)in(e|c)n
Ihmis-,(i|j)(h|b|d)(m|w)i(s|f)
Inhimillinen,(i|j)n(h|b|d)i(m|w)il+in(e|c)
Intellektuelli,(i|j)n(t|f)(e|c)l+(e|c)(k|f)(t|f)u(e|c)l+i
Intressi,(i|j)(n|u)(t|f)(r|c)(e|c)(s+|f+)i
Irrottaa,(i|j)(r+|c+)(o|a)i?(t+|f+)
Irtautua,(i|j)(r+|c+)(t|f)(o|a)(u|o)(t+|f+)
Isänmaa,(i|j)(s|f)(ä|a)nma+
Itsellisyys,(i|j)(t|f)(s|f)(e|c)l+i(s|f)y+(s|f)
Itsemääräys,(i|j)(t|f)(s|f)(e|c)(m|w)..(r|c).(y|h).
itsenäinen,(i|j)(t|f)(s|f)(e|c)(n|u)(a|ä)i(n|u)(e|c)(n|u)
Jakaa,(i|j)(a|o)(k|f)(a+|o+)
Jakautua,(i|j)(a|o)(k|f)(a|o)u(t|f)u(a|o)
Johtaja,(i|j)(o|a)(h|b|d)(t|f)(a|o)(j|i|ij)(a|o)
Julkaista,(i|j)ul(k|f)(a|o)i(s|f)(t|f)(a|o)
Julkinen,(i|j)(u|n)l(k|f)in(e|c)n
Järjestelmä,(i|j)(a|ä)(r|c)je(s|f)(t|f)(e|c)lm(ä|a)
Jäsen,(i|j)(a|ä)(s|f)(e|c)n
Kannattaa,(k|f)(a|o)n+(a|o)(t+|f+)a+
Kansa,(k|f)a(n|u)(s|f)a
Kansakunta,(k|f)(a|o)(n|u)(s|f)(a|o)(k|f)u*n*(t|f)(a|o)
Kansalainen,(k|f)(a|o)n(s|f)(a|o)l(a|o)in(e|c)n
Kansallinen,(k|f)(a|o)(n|u)(s|f)(a|o)l+i(n|u)(e|c)(n|u)
Kansanedustus,(k|f).n(s|f).(n|u)(e|c)(d|b|)(u|n)(s|f)(t|f)(u|n)(s|f)
Karjala,(k|f)(a|o)(r|c)(i|j|ij)(a|o)l(a|o)
Karjalainen,(k|f)(a|o)(r|c)(i|j|ij)(a|o)l(a|o)i(n|u)(e|c)(n|u)
Kartta,(k|f)(a|o)(r|c)(tt+|ff+)(a|o)
Kausi,(k|f)(a|o)u(s|f)i
Kehittynyt,(k|f)(e|c)(h|b)i(t+|f+)(y|h)(n|u)(y|h)(t|f)
Keisari,(k|f)(e|c)i(s|f)ari
Keisarikunta,(k|f)(e|c)i(s|f)(a|o)(r|c)i(k|f)un(t|f)(a|o)
Keisarilinen,(k|f)(e|c)i(s|f)aril+i(n|u)(e|c)n
Kenraali,(k|f)(e|c)(n|u)(r|c)(a+|o+|ao|oa)li
Keskiaika,(k|f)(e|c)(s|f)(k|f)i(a|o)i(k|f)(a|o)
Keskitetty,(k|f)(e|c)(s|f)(k|f)i(t|f)(e|c)(t+|f+).
Kieli,(k|f)i+(e|c)li
Kirjoitus,(k|f)i(r|c)(i|j|ij)o(i|j|ij)(t|f)u
Kolkka,(k|f)(o|a)l(kk|hh+)(a|o)
Komento,(k|f)(o|a)(m|w)(e|c)n(t|f)(a|o)
Kommunism,kommunism
Konservatism,konservatism
Kotimaa,(k|f)o(t|f)ima+
Kotimainen,(k|f)o(t|f)ima+in(e|c)
Koulu,(k|f)(o|a)ulu
Kruunu,(k|f)(r|c)(u+|n+)n(u|n)
Kulmakunta,(k|f)ul(m|w)(a|o)(k|f)un(t|f)(a|o)
Kulttuuri,(k|f)(u|n)l(t+|f+)(u+|n+)(r|c)i
Kuningas,(k|f)unin.(a|o)(s|f)
Kuningaskunta,(k|f)unin.a(s|f)(k|f)un(t|f)a
Kuninkaallinen,(k|f)(u|n)(n|u)i(n|u)(k|f)a+l+i(n|u)(e|c)
Kunta,(k|f)un(t|f)(a|o)
Kysymys,(k|f)(y|h)(s|f)(y|h)(m|w)(y|h)(s|f)
Käsitellä,(k|f)(ä|a)(s|f)i(t|f)+(e|c)l+(a|ä)
Käsitys,(k|f)(ä|a)(s|f)i(t|f).
Laki,l(a|o)(k|f)i
Lausunto,l(a|o)u(s|f)un(t|f)
Lehti,l(e|c)(h|b|y)(t|f)(i|j)
Liberaali,li.(e|c)ra+li
Liberalismi,li.(e|c)ralism
Liittää,l(ii+)(tt+|ff+)(a+|ä+)
Loukkaamattomuus,l(o|a)u(k+|f+)a+(m|w)at+omu+
Luku,lu(k|f)u
Luoda,lu(o|a)(d|b|h)(a|o)
Luonne,lu(o|a)(n+|m)(e|c)
Luonto,lu(o|a)n(t|f)(o|a)
Luovutettu,lu(o|a)(v|w)(u|n)(t|f)(e|c)(t+|f+)(u|n)
Luovuttaa,lu(o|a)(v|w)(u|n)(t+|f+)(a+|o+)
Lääni,l(ä+|a+|ö+)(n|u)i
Maa-alue,(m|w)(a+|o+).(a|o)lu(e|c)
Maakunta,(m|w)(a+|o+)kun(t|f)a
Maantieteellinen,(m|w)(a+|o+)n(t|f)i(e|c)(t|f)(e+|c+)l+in(e|c)n
Mahti,(m|w)(a|o)(h|y)(t|f)i
Markka,(m|w)a(r|c)(k+|f+)a
Mielenilmaus,(m|w)i(e|c)l(e|c)(n|u)il(m|w)(a|u)(s|f)
Mielikuva,(m|w)i(e|c)li(k|f)u(w|v)(a|o)
Ministeristö,(m|w)ini(s|f)(t|f)eri(s|f)(t|f)(o|ö)
Mobilisaatio,(m|w)(o|a)(h|b|d)ili(s|f)(a+|o)(t|f)i(o|a)
Monarkki,(m|w)o(n|u)(a|o)(r|c)(f+|k+)i
Moraali,(m|w)(o|a)(r|c)(a+|o+)li
Muodollinen,(m|w)u(o|a)(d|b|h)(o|a)l+i(n|u)(e|c)(n|u)
Muodostaa,(m|w)u(o|a)(d|b|h)o(s|f)(t|f)(a+|o+)
Muodostua,(m|w)u(o|a)(d|h|b|t)(o|a)(s|f)(t|f)(u|n)
Muotoutua,(m|w)u(o|a)(t|f)(o|a)u(t|f)(u|n)(a+|o+)
Myytti,(m|w)(y+|h+)(t+|f+)i
Määräys,(m|w)(a+|ä+|ö+|o+)r(ä+|a+|ä+|o+|ö+)(y|h|b|d)(s|f)
Napoleon,(n|u)(a|o)p(o|a)l(e|c)(o|a)(n|u)
Neuvotella,(n|u)(e|c)(u|n)(v|w)(o|a)(t|f)(e|c)l+(a|o)
Nyky-,(n|u)(y|h)(k|f)(y|h)
Oikeus,oi(k|h)(e|c)u
Oppilaitos,op+il(a|o)i(t|f)(o|a)(s|f)
Osallistua,o(s|f)(a|o)l+i(s|f)
Osavaltio,o(s|f)(a|o)(v|w)al(t|f)io
Paikallinen,p(a|o)i(k|f)(a|o)l+i(n|u)(e|c)(n|u)
Paikallis-,p(a|o)i(k|f)(a|o)l+i(s|f)
Painattaa,p(a|o)in(a|o)(t+|f+)(a|o)
Parlamentti,p(a|o)(r|c)l(a|o)(m|w)(e|c)(n|u)(t+|f+)i
Patriotism,patriotism
Periaate,p(e|c)(r|c)i(a+|o+)(t|f)(e|c)
Periodi,p(e|c)ri(o|a)(d|b|h)i
Perustaa,p(e|c)ru(s|f|g)(t|f)aa
Perustuslaki,p(e|c)(r|c)(u|n)(s|f)(t|f)(u|n)(s|f)l(a|o)(k|f)?i
Pietari,pi(e|c)(t|f)(a|o)(r|c)i
Pohjoismaa,po(h|b)joi(s|f)(m|w)a
Politiikka,poli(t|f)(i+)(k+|f+)a
Provinssi,p(r|c)(o|a|u)(v|w)in+(s+|f+)i
Puhe,p(u|n)(h|d|b)(e|c)
Puolustaa,p(u|n)(o|a)l(u|n)(s|f)(t|f)(a+|o+)
Pykälä,py(k|f)(a|ä)l(a|ä)
Päätös,p(ä+|a+)(t|f)(o|ö)
Raha,ra(h|b)a
Rahoittaa,ra(h|b)oi(t+|f+)(a+|o+)
Raja,r(a|o)j(a|o)
Rajaseutu,r(a|o|u)j(a|o|u)(s|f)(e|c)u(t|f)u
Ratkaisu,ra(t|f)(k|f)(a|o)i(s|f)u
Rauha,rau(h|k)a
Republikanism,(r|c)(e|c)publikanism
Res Publica,pu(b|d|h)li[cke](a|o)
Retoriikka,r(e|c)(t|f)(o|a)ri+(k+|f+)(a|o)
Riidanalainen,ri+(t|f|d|b|h)(a|o)n(a|o)l(a|o)in(e|c)n
Riitainen,ri+(t|f)(a|o)in(e|c)n
Riski,ri(s|f)(k|f)i
Ruhtinaskunta,r(u|n)h(t|f)i(n|u)(a|o)(s|f)(k|f)(u|n)(n|u).(a|o)
Ruotsalainen,ruo(t|f)(s|f)(a|o)l(a|o)in(e|c)n
Ruotsi,r(u|n)o(t|f)(s|f)i
Sanomalehti,(s|f)(a|o)n(o|a)(m|w)(a|o)l(e|c)(h|b|y)(t|f)(i|j)
Senaatti,(s|f)(e|c)(n|u)(a+|o+)(t+|f+)i
Separatismi,(s|f)(e|c)paratis
Seutu,(s|f)(e|c)u(t|f)u
Sisä,(s|f)i(s|f)(ä|ä)
Sisäinen,(s|f)i(s|f)(ä|ä)in(e|c)n
Sivistys,(s|f)i(v|w)i(s|f)(t|f)(y|h)(s|f)
Skandinavia,(s|f)(k|f|c)(a|o)(n|u)(d|b|h)i(n|u)(a|o)(v|w)i(a|o)
Sopimus,(s|f)o(p|f)i(m|w)u(s|f|j)
Sosiaalinen,(s|f)o(s|f)i(a+|o+)li(n|u)(e|c)(n|u)
Sota,(s|f)o(t|f)a
Status,(s|f)(t|f)(a|o)(t|f)u(s|f)
Suojella,(s|f)(u|n)(o|a)(i|j)(e|c)l
Suomalainen,(s|f)(u|n)(o|a)(m|w)(a|o)l(a|o)i(n|u)(e|c)(n|u)
Suomenmaa,(s|f)(u|n)(o|a)(m|w)en(m|w)a
Suomi,(s|f)(u|n)(o|a)(m|w)i
Suuriruhtinaanmaa,.u+(r|c)i? r(u|n)h(t|f)i(n|u)(a|o)+n(m|w)a
Suuriruhtinaskunta,.u+(r|c)i? r(u|n)h(t|f)i(n|u)(a|o)(s|f)(k|f)u
Suurvalta,(s|f)(u+|n+|w)(r|c)(\-|\s|\'|)(v|w)al(t|f)(a|o)
Suvereeni,(s|f)(u|n)(w|v)(e|c)(r|c)(e+|c+)ni
Synty,(s|f)(y|h)n(t|f)y
Sääntö,(s|f)(a+|ä+)n(t|f)(o|ö)
Sääty,(s|f)(ä+|a+)(t|f)y
Talous,t(a|o)l(o|a)(u|n)
Tasa-arvo,t(a|o|u)(s|f)(a|o|u).(a|o|u)r(v|w)(a|o|u)
Terrorism,(t|f)(e|c)rrorism
Tiede,ti(e|c)(d|b|h)(e|c)
Toimivalta,toi(m|w)i(n|u|)(t|f|)(a|o|)(w|v)al(t|f)(a|o)
Traktaatti,tr(a|o)k(t|f)a+(t+|f+|m)i
Tsaari,(ts|tf|z)(a+|o+)(r|c)i
Tukea,(t|f)u(k|f)(e|c)(a|o)
Uhka,(u|v)(h|b)(k|f)?(a|o)
Uskomus,(u|v)(s|f)(k|f)(o|a)(m|w)(u|n)
Vaara,(v|w|m)(aa+|oo+)(r|c)(a|o)
Vaihe,(v|w|m)(a|o)i(h|b|d)(e|c)
Vaihtaa,(v|w|m)aih(f+|t+)a+
Vaihtoehto,(v|w|m)aih(t|f)o(e|c)h(t|f)o
Vaino,(v|w|m)aino
Vallanpitäjä,(v|w|m)(a|o)l+(a|o)npi(t|f)(a|ä)(j|i)(a|ä)
Valta,(v|w|m)(a|o)l(t|f)(a|o)
Valtakunta,(v|w|m)al(t|f)a(k|f)un(t|f)a
Valtias,(v|w|m)(a|o)l(t|f)(i|ij)(a|o)(s|f)
Valtio,(v|w|m)(a|o)l(t+|f+)io
Valtiomuoto,(v|w|m)al(t|f)io(m|w)uo(t|f)o
Valtionjohto,(v|w|m)(a|o)l(t|f)io(n|u)?(j|i)o(h|b)(t|f)o
Valtiopäivät,(v|w|m)(a|o)l(t|f)io.(ä|ö|a|o)i(v|w)(ä|a|ö|o)(t|f)
valtiosääntö,(v|w|m)al(t|f)ion?(s|f)(a+|ä+)n(t|f)(o|ö)
Valtiosääty,(v|w|m)al(t|f)io(s|f)(ä+|a+)(t|f).
Valtioviisaus,(w|u|v)(a|o)l(t|f)io(v|w|m)i+(s|f)(a|o)(u|n)
Valuutta,(w|u|v)al(u+|n+)(t+|f+)(a|o)
Vandalism,(v|w)andalism
Vanha,(v|w|m)(a|o)n(h|y|b|d)(a|o)
Varhainen,(v|w|m)ar(h|b)(o|a)in(e|c)n
Varhais,(v|w|m)ar(h|b)(o|a)i(s|f)
Vastalause,(v|w|m)(a|o)(s|f)(t|f)(a|o)l(a|u)(s|f)(e|c)
Venäjä,(w|v|m)(e|c)(n|u)(a|ä)(j|i)(a|ä)
Venäläinen,(w|v|m)(e|c)n(ä|a)(l|f)(ä|a)in(e|c)n
Vertailu,(w|v|m)(e|c)(r|c)(t|f)(a|o)il(u|n)
Virallinen,(w|v|m)i(r|c)(a|o)l+i(n|u)(e|c)(n|u)
Virkamies,(w|v|m)i(r|c)(k|f)(a|o)(m|w)i(e|c)(s|f)
Voima,(w|v|m)oi(m|w)(a|o)
Vuosisata,(w|v|m)u(o|a)(s|f)i(s|f)(a|o)(t|f)(a|o)
Yhdistyä,yh(d|b|h|t)i(s|f)(t+|f+).(a+|ä+)
Yhdistää,yh(d|b|h)i(s|f)(t|f)
Yhteiskunnallinen,y(h|y)(t|f)(e|c)i(s|f)(k|f)[un]
Yhteiskunta,yh(t|f)(e|c)i(s|f)(k|f)u*n*(t|f)(a|o)
Yhteistoiminta,yh(t|f)(e|c)i(s|f)(t|f)(o|a)i(m|w)in(t|f)(a|o)
Yhteistyö,yh(t|f)(e|c)i(s|f)(t|f)(y|h)(o|ö)
Yhteisö,y(h|b)t(e|c)i(s|f)(ö|o)
Yhteys,yh(t|f)(e|c)(y|h)(s|f)
Yksimielisyys,y(k|f)(s|f)i(m|w)i(e|c)li(s|f)(y+|h+)
Yleinen,yl(e|c)i(n|u)(e|c)(n|u)
Yleis-,yl(e|c)i(s|f)
Yliopisto,yli(o|a)pi(s|f)(t|f)(o|a)
Älykkö,äl(y|h)(k+|f+)(o|ö)
Älyllinen,äl(y|h)l+in(e|c)
