,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d
41,ministere,0.489,rivality,0.718,olitical,0.742,francorussian,0.723,despotism,0.545,belligerency,0.506
42,discredits,0.488,counterrevolution,0.717,plitical,0.74,political,0.723,abdicating,0.545,alignments,0.505
43,structives,0.486,dualism,0.717,politicil,0.74,pohtical,0.722,statecraft,0.545,absolutism,0.504
44,mocratic,0.486,republicanism,0.717,napoleonism,0.739,ultramontanes,0.722,antidynastic,0.545,hittites,0.504
45,antinational,0.483,moderados,0.716,antinational,0.739,bonapartism,0.722,austria,0.543,monarchy,0.504
46,ultraliberals,0.483,antagonisms,0.716,sclavic,0.739,kulturkampf,0.721,governmental,0.542,sovereignity,0.504
47,barrots,0.481,statecraft,0.716,separatist,0.738,ultramontane,0.721,annexationist,0.541,judaism,0.503
48,debats,0.481,monarchies,0.716,dizement,0.738,plebiscitary,0.721,aggrandisement,0.541,juridical,0.503
49,ultra,0.477,fusionists,0.715,politicd,0.737,panslavistic,0.72,internecine,0.54,religions,0.502
50,exaltados,0.477,monarchist,0.715,poitical,0.735,gambettist,0.72,politi,0.54,babylonia,0.502
51,estamento,0.476,democratical,0.713,revolutionary,0.735,politicoecclesiastical,0.719,chauvinistic,0.54,abdication,0.502
52,liberals,0.476,bonapartist,0.712,rancour,0.734,obrenovitch,0.718,fundamental,0.54,nationhood,0.501
53,disconcert,0.475,solidarity,0.709,imperialistic,0.734,irrecon,0.717,politicaj,0.539,wars,0.501
54,souverain,0.475,diplomacy,0.709,hegemony,0.734,anticlerical,0.717,reactionaries,0.539,napoleonic,0.501
55,debuts,0.473,cratic,0.709,nationality,0.732,dictators,0.716,alliances,0.539,prechristian,0.5
56,mesures,0.472,bureaucratic,0.708,legitimism,0.731,compromises,0.716,politcal,0.538,conquest,0.499
57,magogue,0.471,lutionary,0.708,austrias,0.731,antirepublican,0.714,dissensions,0.538,buddhism,0.499
58,franqais,0.471,predominance,0.708,politicsl,0.731,dynasty,0.713,iolitical,0.538,retrocession,0.499
59,odillon,0.471,volutionary,0.707,poltical,0.731,dictatorship,0.713,hohenzollerns,0.537,flicts,0.498
60,robaulx,0.468,hatreds,0.706,dolitical,0.73,boulangism,0.711,lutionary,0.536,khalif,0.497
61,republicans,0.468,cabals,0.705,rancours,0.73,opportunists,0.711,racial,0.536,humankind,0.495
62,pouvoir,0.468,antinational,0.703,territorial,0.73,hapsburgs,0.711,rivalries,0.536,sultanate,0.495
63,emeutes,0.466,republican,0.703,politica,0.729,sagastas,0.71,republicanism,0.536,kaiser,0.495
64,propagandism,0.466,pohtical,0.703,monarohy,0.729,politicoreligious,0.71,nonintervention,0.535,capitulations,0.494
65,antipopular,0.466,napoleonism,0.703,hatreds,0.728,hellenic,0.71,greeces,0.534,imperialistic,0.494
66,toriea,0.465,legitimates,0.702,divineright,0.727,antijapanese,0.706,worldpower,0.534,dynasty,0.494
67,thiers,0.465,buonapartist,0.702,hostile,0.727,aggrandisement,0.706,anarchical,0.534,upheavals,0.494
68,barrot,0.465,bonapartes,0.701,politicl,0.726,slavophil,0.706,poitical,0.533,troversies,0.494
69,antienglish,0.464,bourbons,0.7,monarcby,0.726,revolutionary,0.706,anarchism,0.533,animosities,0.494
70,monarchic,0.464,imperils,0.7,panslavonic,0.726,revolutionaries,0.705,catastrophic,0.532,balkans,0.494
71,beiges,0.463,jolitical,0.7,trigues,0.725,clericals,0.705,servias,0.532,nationalistic,0.494
72,philippes,0.463,isolation,0.699,enmities,0.725,russofrench,0.705,constitutionalism,0.532,fetishes,0.493
73,quotidienne,0.462,trigue,0.698,ultramontanism,0.724,clericalism,0.705,judaism,0.532,throne,0.493
74,revolutionary,0.461,doctrinaires,0.697,bureaucratic,0.723,imperialist,0.704,bulgaria,0.532,psychosis,0.492
75,coalition,0.461,legitimacy,0.697,revindication,0.723,ministries,0.704,austroservian,0.531,chauvinism,0.491
76,basques,0.46,antiaustrian,0.697,monaroby,0.723,carlism,0.703,camarilla,0.531,mechanistic,0.491
77,dtbats,0.46,jealousies,0.697,dynast,0.723,antirussian,0.702,domination,0.53,inheritances,0.491
78,cormenin,0.458,cliques,0.696,poliiical,0.723,dualism,0.702,embroilment,0.53,racialism,0.491
79,debals,0.458,temporising,0.696,sclav,0.722,aggrandizement,0.701,dethroned,0.53,albanias,0.49
80,ministe,0.457,progresistas,0.696,dictatorship,0.722,pulitical,0.701,antipathies,0.529,rupprecht,0.49
81,bourdonnaye,0.457,louisnapoleon,0.695,clericalism,0.722,ptlitical,0.701,transitory,0.529,civili,0.49
82,hauranne,0.457,reactionist,0.695,conflict,0.719,panslav,0.699,evolutionary,0.529,hapsburg,0.49
83,dargenson,0.456,unavowed,0.695,governmental,0.719,diplomatic,0.699,czardom,0.529,tsardom,0.49
84,luxemburgh,0.456,selfish,0.694,centralist,0.718,unavowed,0.698,anarchy,0.529,jubaland,0.489
85,monarchical,0.456,subserviency,0.694,renouncing,0.718,eepublican,0.698,bolshevism,0.529,confucianism,0.489
86,halfmeasures,0.455,mistrust,0.694,despotic,0.718,panslavic,0.698,russophile,0.528,resurgence,0.489
87,droite,0.455,propagandism,0.693,hapsburgs,0.717,servias,0.698,enmities,0.528,intrigues,0.489
88,dehats,0.455,confederations,0.693,panslavism,0.717,cratic,0.697,militarists,0.527,myths,0.489
89,limbourg,0.455,resentments,0.692,napoleonian,0.716,zorrilla,0.696,animosi,0.527,ethiopia,0.488
90,aministry,0.455,oligarchic,0.691,lolitical,0.715,nonintervention,0.696,belligerency,0.526,manchus,0.488
91,charterists,0.454,legitimists,0.691,wellunderstood,0.715,politica,0.695,mistrust,0.526,dependency,0.487
92,corcelles,0.454,pobtical,0.691,magyars,0.715,politicat,0.695,feuds,0.526,reformation,0.487
93,temporize,0.453,dachies,0.689,lutionary,0.714,poltical,0.695,greeoe,0.525,doctrinal,0.487
94,luxembourg,0.453,napoleonian,0.689,theocratic,0.714,pditical,0.694,agelong,0.524,assyrians,0.486
95,captious,0.453,traditional,0.688,politloal,0.713,bourbons,0.694,beliefs,0.524,abdicates,0.486
96,chical,0.453,dissimulate,0.688,autocratic,0.713,progressist,0.694,extsar,0.524,civilis,0.486
97,anarchists,0.453,fusionist,0.688,irreconcilable,0.713,reactionists,0.693,semipolitical,0.524,imperialism,0.486
98,thierss,0.453,narchical,0.688,volitical,0.713,lutionary,0.693,assassinations,0.524,paganism,0.486
99,messagcr,0.452,democracy,0.687,subservience,0.713,republicanism,0.693,prussias,0.523,conquests,0.485
