,en_1720,en_1720_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
39,surely,0.442,subverfion,0.501,monarchial,0.548,overweening,0.522,conservatism,0.593,protestantism,0.765,romanism,0.797,individualism,0.797,bureaucracy,0.662,collectivism,0.653,freedom,0.642
40,immoral,0.441,tyrannic,0.501,domineering,0.548,domineering,0.521,innovation,0.589,nationalism,0.763,communistic,0.797,partythat,0.796,imperialistic,0.661,independence,0.649,tianity,0.64
41,warrantable,0.441,conifitution,0.5,overthrow,0.547,servility,0.518,demagogues,0.587,anarchical,0.762,internationalism,0.796,ultramontanism,0.796,tyranny,0.661,righteousness,0.648,tarianism,0.64
42,superflition,0.441,conilitution,0.5,partizans,0.546,bigotted,0.517,dominant,0.584,oligarchic,0.762,jingoism,0.794,imperialistic,0.796,pangermanism,0.66,marxism,0.647,conservatism,0.637
43,unalienable,0.441,fubverted,0.499,tocracy,0.546,narchy,0.516,despotisms,0.583,socialism,0.761,monarchy,0.792,absolutism,0.796,individualism,0.658,individualism,0.644,mocratic,0.637
44,oppreffive,0.441,omnipotence,0.499,jacobinism,0.545,irreconcilable,0.516,whigism,0.582,cratical,0.761,whiggism,0.791,collectivism,0.796,secularism,0.657,mankind,0.643,paganism,0.636
45,overbearing,0.441,faation,0.498,jacobin,0.545,venality,0.515,demagogue,0.581,jacobinism,0.76,militarism,0.791,toryismn,0.796,religion,0.657,militarist,0.643,capitalist,0.636
46,bigotry,0.44,fervility,0.497,demagogue,0.544,revolution,0.514,priesthood,0.58,antinational,0.76,oligarchy,0.791,chamberlainism,0.796,monarchy,0.654,statecraft,0.642,equality,0.635
47,bigotted,0.44,infuence,0.497,levelling,0.544,overthrow,0.513,despotic,0.58,tyranny,0.757,beaconsfieldism,0.791,ascendancy,0.794,democratio,0.652,pacificism,0.641,independence,0.634
48,constituent,0.44,fubverfive,0.497,monarchic,0.543,jacobin,0.511,intolerance,0.579,protestautism,0.757,opportunism,0.79,radicalismn,0.793,idealism,0.651,socialistic,0.641,democra,0.633
49,refiraint,0.439,abhorrent,0.496,anarchv,0.541,theconstitution,0.511,domination,0.579,ascendency,0.756,czarism,0.787,atheism,0.792,tarism,0.651,ideals,0.641,unionism,0.631
50,hypocritical,0.437,collective,0.495,monarchies,0.54,ambitious,0.511,tyranny,0.579,protestantisni,0.755,toryismn,0.786,gladstonianism,0.79,clericalism,0.651,radicalism,0.641,doctrines,0.63
51,disaffection,0.437,lcgiflature,0.495,defpotic,0.54,aristo,0.51,popeiy,0.579,vatism,0.754,liberausm,0.785,statesmanship,0.789,nonconformity,0.65,nazism,0.64,tatorship,0.63
52,depravity,0.436,enflaved,0.494,innovators,0.539,licentiousness,0.509,monarchial,0.578,catholicity,0.754,csesarism,0.783,calism,0.789,ideals,0.649,autocracy,0.639,bigotry,0.629
53,criterion,0.436,exills,0.493,dilcord,0.539,prelacy,0.507,monarchies,0.578,classlegislation,0.754,protectionists,0.782,demagogy,0.788,communism,0.648,domination,0.637,aggression,0.629
54,coalition,0.436,enthu,0.493,jacobinical,0.538,tyrant,0.507,democrat,0.578,republican,0.753,gallicanism,0.782,opportunism,0.788,pacifists,0.648,worldpeace,0.637,dictatorships,0.628
55,corruption,0.435,nation,0.493,federalism,0.536,despot,0.507,potism,0.577,cbartism,0.753,orleanism,0.782,solidarity,0.788,righteousness,0.646,negation,0.637,humanity,0.627
56,scribbler,0.434,terrific,0.489,licentiousness,0.536,religion,0.506,despo,0.576,dominancy,0.753,panslavism,0.781,democrac,0.788,germanism,0.644,capitalist,0.633,materialist,0.625
57,independence,0.434,fupreme,0.489,arillocracy,0.535,innovators,0.506,catholicism,0.576,moneypower,0.752,tanism,0.781,peaceatanyprice,0.786,priestcraft,0.643,toleration,0.633,antichristian,0.624
58,tendency,0.434,immutable,0.489,defpotifim,0.534,doftrine,0.506,ascendency,0.573,predominance,0.752,rationalism,0.779,aspirations,0.786,worldpower,0.642,subversion,0.632,negation,0.624
59,individuals,0.434,pervaded,0.489,reformers,0.533,persecutor,0.505,misrule,0.573,civilisation,0.752,centralism,0.778,federalism,0.786,jingoism,0.642,selfinterest,0.63,pacifism,0.623
60,dictator,0.433,coercion,0.489,dodtrines,0.532,corruptions,0.504,democracies,0.572,jesuitism,0.752,democratical,0.777,predominance,0.785,militarists,0.638,civilisa,0.63,toryism,0.621
61,avowedly,0.433,haughtinefs,0.488,democrats,0.53,enthusiasts,0.503,republicans,0.572,kingeraft,0.751,sectionalism,0.777,patriotism,0.785,industrialism,0.636,despotism,0.629,slavery,0.62
62,monwealth,0.433,diftruft,0.488,hierarchy,0.53,tyranny,0.503,calism,0.571,plutocracy,0.751,peaceatanyprice,0.776,cosmopolitanism,0.784,antidemocratic,0.636,civilization,0.629,hitlerism,0.619
63,zealot,0.433,tyrants,0.487,ariflo,0.528,usurped,0.503,priestcraft,0.57,domination,0.751,demagogue,0.775,torvism,0.783,cratic,0.634,totalitarian,0.629,unequivocally,0.618
64,sentiment,0.432,ufurping,0.487,bigotry,0.528,thrones,0.503,ascendancy,0.569,canism,0.75,demagogy,0.774,denominationalism,0.783,civilisa,0.634,barbarism,0.628,materialism,0.616
65,collective,0.432,felfintereft,0.486,republican,0.527,coalition,0.502,monarchy—,0.568,placebegging,0.75,democratic,0.773,predominence,0.783,separatism,0.634,cobdenism,0.627,authoritarian,0.616
66,perverse,0.431,domination,0.485,defpo,0.527,delufion,0.502,aristocrats,0.568,warspirit,0.749,atheism,0.772,monarchy,0.783,plutocracy,0.632,shevism,0.627,peaceloving,0.615
67,govern,0.431,conftituent,0.485,ariflocratic,0.527,arrogance,0.502,orangeism,0.568,demagogue,0.749,papaoy,0.771,erastianism,0.782,barbarism,0.632,paganism,0.627,nationhood,0.614
68,itelf,0.431,partakes,0.485,corruption,0.526,hypocritical,0.502,disorganising,0.568,chartisin,0.749,bourbonism,0.771,nation,0.781,extremists,0.632,antidemocratic,0.627,marxist,0.613
69,legiflative,0.429,unconditional,0.484,factious,0.526,jacobinifm,0.502,fanaticism,0.567,despot,0.748,parrotcry,0.77,demiocracy,0.78,federalism,0.631,capitalistic,0.627,dogmas,0.61
70,licentious,0.428,legiflaturc,0.483,monar,0.525,alarmists,0.501,intolerant,0.565,chical,0.747,ultraprotestantism,0.769,reformers,0.78,negation,0.631,extremism,0.626,domination,0.61
71,juftifiable,0.427,exilled,0.483,ufurpation,0.524,ambition,0.498,torvism,0.565,lutism,0.747,tutionalism,0.768,humanitarianism,0.78,revolution,0.63,democracys,0.626,politics,0.61
72,reftraints,0.427,deftruffive,0.483,faclion,0.523,degradation,0.498,ultratoryism,0.565,protectionism,0.746,dualism,0.768,doctrinaires,0.779,democ,0.629,doctrines,0.624,liberties,0.609
73,patriot,0.426,unwife,0.483,impiety,0.522,slavish,0.498,revolutionists,0.562,absolutist,0.745,secularism,0.768,toryisn,0.779,landlordism,0.627,catholicism,0.624,munism,0.609
74,tacitly,0.426,legiflative,0.482,abhorred,0.521,tyrannic,0.498,propagandism,0.562,publicanism,0.745,ultraradicalism,0.767,socialistic,0.778,aspirations,0.626,pendence,0.623,fundamental,0.608
75,perverfe,0.426,conftitutional,0.482,tyrants,0.519,cringing,0.496,innovating,0.559,nationhood,0.745,vatism,0.767,capitalism,0.778,puritanism,0.625,cratic,0.622,despotism,0.608
76,wbigs,0.425,idea,0.482,fadions,0.518,impiety,0.496,dicalism,0.558,monarchists,0.744,calism,0.767,voluntaryism,0.778,anarchy,0.624,totalitarianism,0.621,ciples,0.606
77,popijh,0.424,conlitution,0.479,irreligion,0.518,intole,0.495,revo,0.557,antirevolutionary,0.744,sacerdotalism,0.767,iberalism,0.778,politicians,0.623,ideology,0.62,expansionist,0.605
78,selfinterest,0.424,legislative,0.479,licentioufnefs,0.518,perfecution,0.495,infidelity,0.557,warparty,0.743,domination,0.767,doctrine,0.777,czarism,0.623,servatism,0.619,minorities,0.605
79,fundamental,0.424,conllitutional,0.479,fanaticifm,0.518,contentions,0.494,bigotry,0.554,spotism,0.743,divineright,0.767,truckling,0.777,diplomacy,0.622,ideologies,0.619,isolationism,0.603
80,bugbear,0.424,ftruggles,0.478,anarchifts,0.517,commonwealth,0.494,revolutionist,0.554,protestanism,0.743,chartism,0.765,tradeunionism,0.776,bourgeoisie,0.622,tianity,0.618,orthodoxy,0.603
81,absurd,0.424,conllitution,0.477,despotic,0.517,usurping,0.494,repub,0.554,despotisms,0.742,lutionary,0.765,autocracy,0.776,fatherland,0.622,selfgovernment,0.617,individualism,0.603
82,argument,0.423,afcendant,0.477,overthrown,0.517,phalanx,0.494,ultraradicalism,0.553,ultraliberalism,0.742,individualism,0.765,puritanism,0.776,idealists,0.622,fascismo,0.617,beliefs,0.603
83,insincerity,0.423,fyilem,0.477,docrines,0.517,protestantism,0.493,protestanism,0.552,autocracy,0.742,demo,0.764,monarchical,0.775,libertyloving,0.622,bureaucracy,0.617,survival,0.603
84,exift,0.423,ihadow,0.477,faaious,0.517,uncorrupted,0.493,ralism,0.551,antirepublican,0.742,oligarchical,0.764,nonconformity,0.775,nations,0.621,authoritarian,0.615,altruism,0.603
85,subordination,0.423,fanftion,0.476,fanati,0.516,tolerance,0.493,antipopular,0.548,anarchic,0.742,puritanism,0.764,demagogism,0.774,protectionism,0.62,constitutionalism,0.615,dictators,0.603
86,arbi,0.422,cxift,0.476,factions,0.516,unenlightened,0.493,revolu,0.544,democ,0.741,whigism,0.764,krugerism,0.774,aggression,0.619,naziism,0.614,freedomloving,0.602
87,hatred,0.422,fyftem,0.476,facion,0.514,extinaion,0.493,tocracy,0.544,landlordism,0.74,autocracy,0.764,oligarchy,0.774,kultur,0.619,tatorship,0.613,godless,0.602
88,popular,0.422,pervades,0.476,doarines,0.514,usurpations,0.492,ultraism,0.544,bonapartism,0.74,licism,0.763,jesuitism,0.773,selfgovernment,0.619,citizenship,0.613,atheistic,0.601
89,legistature,0.421,fpirit,0.475,terrorism,0.514,cratic,0.492,boroughmongers,0.543,torvism,0.739,tionism,0.762,balfourism,0.772,oppressors,0.619,imperialistic,0.613,selfpreservation,0.601
90,tories,0.421,modified,0.475,kingly,0.514,infuriate,0.492,narchy,0.542,anarchist,0.739,revolution,0.762,demo,0.772,socialists,0.618,subservience,0.611,civilised,0.6
91,implies,0.421,agitations,0.474,royalifm,0.513,potism,0.492,mobocracy,0.542,despo,0.738,monarchial,0.762,canism,0.771,afrikanderdom,0.618,monarchial,0.61,oppression,0.599
92,bigots,0.42,felfprefervation,0.474,fanaticifin,0.513,rulers,0.492,jacobinical,0.542,orangeism,0.738,protestanism,0.762,freedomloving,0.771,christianitv,0.616,revolution,0.61,militarism,0.599
93,tyrants,0.42,colonization,0.474,independence,0.513,rebellion,0.492,despots,0.54,centralisation,0.738,antipopular,0.762,negation,0.771,pacifism,0.616,fundamental,0.61,oneparty,0.599
94,dupes,0.42,conltitu,0.474,zealot,0.512,defpotifm,0.492,popish,0.539,freedomand,0.737,priestcraft,0.761,nonintervention,0.77,imperialists,0.616,nolitical,0.609,nonviolence,0.598
95,invidious,0.419,degenerate,0.473,tyrannous,0.511,demagogue,0.492,slavish,0.539,mocratic,0.736,slaveocracy,0.761,civilisation,0.77,tantism,0.616,humanitarianism,0.609,totali,0.598
96,irrational,0.419,overruling,0.473,fanatics,0.511,demagogues,0.491,monar,0.538,absolutists,0.736,cosmopolitanism,0.761,liberationists,0.77,prussianised,0.614,warmonger,0.608,regimentation,0.597
97,executive,0.419,infringing,0.473,tvranny,0.511,machinations,0.491,tantism,0.536,federalism,0.736,freetrading,0.76,imperialism,0.77,hypocrisy,0.614,morality,0.608,politically,0.597
98,lawgiver,0.418,feudal,0.472,faffion,0.509,tyrannical,0.491,levellers,0.536,popedom,0.736,jesuitism,0.76,dominance,0.769,freedomloving,0.614,principles,0.607,imperialistic,0.596
99,hypocrisy,0.418,llavery,0.472,atheifm,0.509,independence,0.49,licentiousness,0.535,despotismi,0.735,doctrinaires,0.759,iliberalism,0.769,kaiserdom,0.614,independency,0.607,tolerance,0.596
