,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1940,en_1940_d
53,basreliefs,0.559,chancellery,0.571,hutory,0.609,bergamo,0.427,bishopwood,0.647
54,deeuvres,0.559,theiner,0.57,apocryphal,0.609,bodleian,0.427,bahershah,0.647
55,biatory,0.558,embassv,0.569,reiics,0.608,andorra,0.426,siamek,0.647
56,bembo,0.558,conciergerie,0.569,keepership,0.607,visconti,0.426,kingside,0.646
57,wurka,0.558,chancellory,0.569,basreliefs,0.607,sarcophagi,0.426,lampos,0.646
58,soulage,0.557,antechamber,0.569,documonts,0.607,territory—reuter,0.425,colombelle,0.645
59,coptic,0.557,papyri,0.568,sncient,0.606,swoboda,0.424,dotan,0.645
60,documenta,0.557,calendared,0.568,calendared,0.606,tobruk,0.424,pascha,0.645
61,loggia,0.557,interior,0.567,disinterred,0.606,mendes,0.423,wheedler,0.645
62,harleian,0.557,archivist,0.567,aucieut,0.604,anoient,0.423,tirania,0.645
63,warka,0.557,autiquities,0.566,oiigin,0.603,apocryphal,0.423,umidora,0.644
64,mausolus,0.556,theinterior,0.566,lucchesi,0.603,romanoffs,0.423,invermaid,0.644
65,documeuts,0.556,palazzo,0.565,cesnola,0.602,monastry,0.422,rimika,0.644
66,repositories,0.556,ransacked,0.565,yamens,0.601,lagarde,0.421,rodolphe,0.644
67,atfiirs,0.555,sculptures,0.564,chancellery,0.601,bordereau,0.421,philintes,0.644
68,altai,0.555,syndic,0.564,dorpfeld,0.601,geographer,0.42,muriess,0.643
69,academe,0.555,galloroman,0.564,documens,0.6,naville,0.418,siresso,0.643
70,affdrs,0.554,pompeian,0.564,treasurehouses,0.6,antechamber,0.418,donalucca,0.643
71,reeords,0.554,portfolio,0.563,aacieat,0.6,saturday—according,0.418,doce,0.643
72,galvagno,0.553,lycian,0.563,secrets,0.6,pillaged,0.418,umidlou,0.642
73,antiquity—,0.553,kaaba,0.563,lermontoff,0.6,doouments,0.418,jeraldo,0.642
74,hterature,0.553,mimorial,0.563,tranalation,0.599,viceminister,0.418,corinacy,0.642
75,reoords,0.552,printingoffices,0.563,archaic,0.599,police—reuter,0.418,glendrostan,0.642
76,ingres,0.552,richlyfurnished,0.561,numismatics,0.598,pobiedonostzeff,0.418,speeder,0.642
77,lomhardy,0.552,assurbanipal,0.561,interior—,0.598,guardhouse,0.418,peasblossom,0.642
78,autiquity,0.551,dungeons,0.56,affaus,0.598,parayre,0.417,bowcliffe,0.641
79,hiatorical,0.551,chronique,0.56,aacient,0.597,yermoloff,0.417,ablowing,0.641
80,oriein,0.55,fiorelli,0.56,ethno,0.597,egyptologist,0.417,catcha,0.641
81,literatnre,0.55,sepulchral,0.56,curiosities,0.597,archpriest,0.417,murleas,0.641
82,anrient,0.55,tuileriee,0.56,hirtory,0.597,cinerary,0.416,nordrizen,0.64
83,tomb—,0.55,tianslated,0.56,rigveda,0.596,ransacked,0.416,goudyswell,0.64
84,crypts,0.55,ancieut,0.56,babylonian,0.596,restaurador,0.416,floriam,0.64
85,documents,0.549,disinterred,0.559,anoieut,0.595,exkings,0.416,bellaceres,0.64
86,queting,0.549,unedited,0.559,cipher,0.595,museums,0.416,colorama,0.64
87,acropolis,0.548,salons,0.559,etruscans,0.595,plundered,0.415,benoite,0.64
88,monuments,0.548,merovingian,0.559,tanlongo,0.594,relic,0.415,carnalway,0.639
89,antiquities,0.548,cypriote,0.559,mythologies,0.594,iceconsul,0.415,kirkwick,0.639
90,armoury,0.548,museo,0.559,carnavalet,0.594,musee,0.415,mirandy,0.639
91,records—,0.548,annexes,0.558,rubaiyat,0.594,douay,0.415,loseille,0.639
92,shrines,0.547,ransacking,0.558,khairi,0.594,doges,0.415,80tree,0.639
93,luvalides,0.547,legatiou,0.558,malversations,0.593,borgias,0.415,hermarco,0.639
94,cuzco,0.547,documeuts,0.557,mairies,0.593,syriac,0.414,rookh,0.639
95,pisani,0.547,secretarygeneral,0.557,marginalia,0.592,minieter,0.414,llanelwedd,0.639
96,unedited,0.546,aucient,0.557,hiatorical,0.592,treasurergeneral,0.414,cosmurry,0.638
97,champollion,0.546,treasures,0.556,inhumation,0.592,ganlois,0.413,yasmeen,0.638
98,sculptural,0.546,beauxarts,0.556,afiaira,0.592,legation,0.413,roystone,0.637
99,sculpture,0.545,documents,0.555,sanctorum,0.591,augsburg,0.413,guisbro,0.637
