,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
52,rathcr,0.343,ihare,0.339,advanrage,0.383,losses,0.452,expenre,0.414,epence,0.465,imperilling,0.611,responsiblity,0.632,responeibility,0.651,inoonvenience,0.429,preventing,0.449,likeli,0.422
53,involving,0.343,event,0.338,exence,0.382,destruion,0.451,loss,0.413,expetise,0.463,risik,0.611,incouvenience,0.63,inoonvenienee,0.65,expensa,0.428,pievent,0.449,undue,0.422
54,termine,0.342,enemv,0.338,expene,0.382,resistance,0.451,expene,0.413,expose,0.462,exoense,0.61,expelse,0.63,expenso,0.65,advantags,0.427,risk—,0.449,avoidance,0.422
55,aggrandizing,0.341,ging,0.336,overmatch,0.38,must,0.451,eipence,0.412,expenec,0.462,respousibility,0.609,expenie,0.63,exiense,0.65,endanger,0.427,fear,0.448,threat,0.421
56,embarrass,0.34,overpowered,0.336,refiltance,0.38,suffered,0.45,eapence,0.412,avoiding,0.46,eipense,0.609,exjense,0.628,responsibilty,0.65,darger,0.426,hindrance,0.448,ruin,0.42
57,ffiou,0.34,dilpute,0.336,contingency,0.38,molest,0.449,espence,0.412,expenc,0.459,contingency,0.609,rsk,0.627,isibility,0.649,inoonvenienoe,0.426,peril,0.446,impede,0.419
58,theturks,0.34,apprehenfive,0.336,dcter,0.379,increase,0.449,expeice,0.412,possibilitv,0.458,expenas,0.608,erpense,0.627,risic,0.649,inconveniences,0.425,breakage,0.445,peril,0.419
59,hardfhip,0.34,weary,0.336,eventually,0.379,exposed,0.448,shippers,0.411,pense,0.457,jeopardising,0.608,exense,0.627,riske,0.649,dauger,0.424,avoidance,0.444,deliberate,0.417
60,vanquish,0.339,precarious,0.336,advane,0.377,seems,0.448,dinger,0.409,datiger,0.457,expeise,0.607,risic,0.626,exense,0.648,offchance,0.423,serioug,0.444,preclude,0.416
61,reluctance,0.339,vitory,0.335,cxpence,0.376,secure,0.447,expenice,0.409,tisk,0.457,daiger,0.606,possibilty,0.624,iuconvenience,0.648,oonsequences,0.423,inconveniences,0.442,impairment,0.416
62,lose,0.339,tould,0.334,fuffir,0.376,necessity,0.447,sustain,0.408,encountering,0.457,sihility,0.606,dadger,0.623,espense,0.648,nsks,0.423,inconveni,0.442,underrate,0.416
63,facility,0.336,alongfide,0.333,poffibility,0.376,profession,0.447,hardship,0.407,expeisse,0.457,theirproperty,0.605,sibility,0.623,inconvenlence,0.648,hazardous,0.423,aggravating,0.441,unnecessary,0.416
64,fuffcr,0.336,conquerors,0.333,advintage,0.376,apprehension,0.447,incur,0.407,expenre,0.457,troubleand,0.605,expease,0.623,dadger,0.647,likelihood,0.423,clanger,0.44,catastrophic,0.415
65,obstinacy,0.335,dilemma,0.333,expencee,0.376,refuse,0.445,inconvenience,0.406,possibility,0.455,expease,0.604,riik,0.623,resposibility,0.647,disagreeables,0.422,avoided,0.44,protect,0.415
66,confcquence,0.335,deprives,0.332,troublc,0.374,sustain,0.445,sacrificing,0.405,detriment,0.455,ixpense,0.603,expeese,0.622,respoosibility,0.647,involve,0.422,becauso,0.439,becauso,0.415
67,fubmir,0.335,unwilling,0.332,fwim,0.374,tosupport,0.445,sulfer,0.405,expeose,0.454,expense,0.603,ineonvenience,0.621,responsibllity,0.646,erpense,0.42,undue,0.438,deprivations,0.414
68,unforeseen,0.335,retreat,0.332,poflibility,0.374,restrain,0.444,dangei,0.404,responisibility,0.453,incuried,0.601,avoiding,0.62,responsibiiity,0.646,sponsibility,0.42,pense,0.438,safeguard,0.413
69,hurry,0.335,enterprise,0.332,hazardous,0.374,trusting,0.444,disad,0.404,sacrifice,0.453,lossor,0.601,inconvenieuce,0.619,responsibihty,0.646,detriment,0.419,reinfection,0.438,halfmeasures,0.412
70,hazardous,0.335,fecurc,0.332,expcncc,0.373,saved,0.444,avoid,0.404,danlger,0.453,inicur,0.6,exipense,0.618,inconvenienc,0.646,inconveniencing,0.418,wastage,0.438,sternness,0.411
71,dispossess,0.335,reaped,0.331,cxpcnce,0.373,impossibility,0.444,dangerof,0.402,involve,0.452,daniger,0.599,incenvenience,0.617,incoavenience,0.645,insured,0.418,chanco,0.438,foolhardy,0.41
72,dreading,0.334,lofs,0.331,expenre,0.373,boldness,0.444,disgrace,0.401,eapence,0.452,inenrred,0.599,lusgage,0.617,harassment,0.644,involves,0.418,quences,0.437,contamination,0.409
73,bloodshed,0.334,superiority,0.331,invader,0.372,responsibility,0.443,iisk,0.401,iisk,0.45,expenre,0.598,avoidiug,0.616,exponse,0.643,sideslips,0.418,insure,0.436,compel,0.409
74,thwart,0.333,vidtory,0.329,pulh,0.372,consent,0.443,ditliculty,0.401,experse,0.449,riik,0.598,epense,0.616,eipense,0.643,minimised,0.418,rerious,0.435,endangers,0.408
75,involved,0.333,make,0.328,providc,0.371,iterest,0.443,chances,0.4,inconvenience,0.449,inconveuience,0.598,dawage,0.616,oxpense,0.643,oonsequenoes,0.417,menace,0.435,slightest,0.408
76,enemv,0.332,expcnce,0.328,fecuritv,0.371,unnecessarily,0.443,expeiice,0.398,espence,0.448,expeuse,0.597,possibility,0.615,incouvenience,0.642,avoidable,0.417,dauger,0.435,precaution,0.408
77,crifice,0.332,lofl,0.327,troube,0.371,embarrassment,0.443,embarrassment,0.397,liability,0.448,injiury,0.597,injuryto,0.615,responsibiuty,0.642,harassment,0.416,embarrassment,0.434,aggravates,0.407
78,fatigues,0.331,cline,0.327,objetl,0.371,despise,0.442,expose,0.397,dianger,0.448,immninent,0.597,expeonse,0.614,respensibility,0.641,safeguard,0.416,involve,0.434,bugbear,0.407
79,burdensome,0.331,running,0.327,hinder,0.37,istence,0.442,expeuse,0.396,dlanger,0.446,sacrifice,0.596,experse,0.613,responsiblity,0.641,penalisation,0.416,discourage,0.433,imperilling,0.407
80,difadvantage,0.331,fatigues,0.327,txpence,0.37,suffr,0.442,apprehensive,0.396,ilanger,0.445,possibilty,0.595,disagreeableness,0.612,erpense,0.64,imperilling,0.416,entails,0.432,chance,0.407
81,wouli,0.33,offenfively,0.326,difengage,0.37,disadvantage,0.441,foreseeing,0.396,chlance,0.444,eacrifice,0.595,responsi,0.612,hazardons,0.64,dangei,0.416,blame,0.432,prevented,0.406
82,inequality,0.33,difliculty,0.326,fuffier,0.368,disturb,0.441,advautage,0.396,expeoce,0.444,daiiger,0.595,xisk,0.611,exnense,0.639,obviate,0.415,ventable,0.431,minimise,0.406
83,avoided,0.329,pufhing,0.326,accrue,0.368,outset,0.441,etpence,0.395,expellce,0.443,hicur,0.594,dangtr,0.611,carelessnes,0.638,responsi,0.415,troube,0.43,propensity,0.405
84,blindly,0.329,dang,0.326,perfill,0.367,pass,0.439,rassment,0.395,eapense,0.443,insurer,0.594,responsib,0.611,inconvenienca,0.637,expence,0.414,precautious,0.429,inconveni,0.405
85,haz,0.329,conlequence,0.325,incafe,0.366,lcast,0.438,losses,0.393,expeice,0.442,expensc,0.594,ifortunately,0.61,txpense,0.636,ritk,0.414,embarrass,0.429,jeopardising,0.405
86,acquiesce,0.329,fear,0.325,troule,0.364,burthensome,0.438,disadvantages,0.393,dangei,0.442,lossand,0.594,expence,0.609,responsibilitv,0.636,esponsibility,0.414,dangei,0.428,dislocation,0.405
87,raher,0.328,yield,0.325,fiipport,0.364,perish,0.437,detriment,0.393,losing,0.441,exponse,0.592,iuconvenience,0.609,inconveuience,0.636,entailed,0.414,moreover,0.428,shortsightedness,0.405
88,milchief,0.328,hardfhip,0.325,reaped,0.364,himself,0.437,danget,0.393,adiantage,0.44,chauces,0.592,inconveniene,0.609,possibihty,0.635,perils,0.413,blamo,0.428,involve,0.404
89,appeafed,0.328,crowding,0.324,expenc,0.363,existence,0.437,apprehensions,0.393,dnger,0.44,saciifice,0.591,dlanger,0.609,respousibility,0.635,danget,0.413,inconveniencing,0.428,trouble,0.404
90,oppore,0.328,productive,0.324,experice,0.363,pursue,0.437,discomfiture,0.392,avoid,0.439,possibuity,0.59,perils,0.608,avoiding,0.634,ruk,0.412,exnense,0.427,avoidable,0.403
91,lofe,0.327,oppofe,0.324,leflen,0.363,disposition,0.436,epence,0.392,profit,0.437,responsihility,0.59,cxpense,0.608,responsibibty,0.634,consequences,0.412,lessening,0.427,scruple,0.403
92,overpower,0.327,contributing,0.323,troubie,0.363,rashly,0.436,fundholders,0.391,incurred,0.437,delay,0.59,dangcr,0.607,inconvenienco,0.633,do—but,0.412,afraid,0.426,afford,0.402
93,darger,0.327,becaule,0.323,lhare,0.362,oppose,0.436,experice,0.391,expelice,0.437,dangerof,0.59,responsibility,0.607,responsbility,0.632,avoided,0.412,unwise,0.426,lessen,0.402
94,inlet,0.327,pofliblc,0.323,wpuld,0.362,dispose,0.436,expetice,0.39,experice,0.437,exipense,0.589,incnr,0.606,trouble,0.632,prevont,0.411,ratecutting,0.425,shirking,0.401
95,woula,0.327,imperialifts,0.323,confiquently,0.362,mischief,0.434,lose,0.389,responsibility,0.436,procrastination,0.589,sxpense,0.606,expouse,0.631,minimize,0.411,eliminate,0.425,interference,0.401
96,diould,0.326,confume,0.323,detriment,0.361,escaping,0.434,stiffer,0.388,expnse,0.436,forfeiture,0.589,possibilityof,0.606,fearof,0.629,delay,0.409,discouragement,0.425,beware,0.4
97,pacisick,0.326,theenemy,0.323,advantae,0.361,otherwvise,0.434,confiscation,0.387,sacrificing,0.435,deiav,0.589,expeuso,0.604,responsihility,0.628,eisk,0.409,wastefulness,0.425,dangei,0.4
98,extremity,0.325,confequence,0.323,fuflain,0.361,suspea,0.433,erpence,0.387,encounter,0.434,uncertainty,0.588,xpense,0.603,trouhle,0.628,responsibi,0.408,cxcuse,0.425,care,0.399
99,oppole,0.325,dertake,0.323,ourlelves,0.36,hostile,0.433,outset,0.387,thedanger,0.434,rashness,0.588,mischances,0.603,exjense,0.627,incurred,0.408,likeli,0.424,overconfidence,0.399
