,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
53,systematic,0.411,inurance,0.377,insuranoe,0.587,nomical,0.537,scientfic,0.615,psychological,0.478,intergovernmental,0.543,erp,0.515
54,subordination,0.41,rgus,0.377,insura,0.586,dauglishs,0.536,practical,0.613,agrarian,0.478,nomically,0.542,politically,0.514
55,perverting,0.409,assuran,0.375,econo,0.586,sconomy,0.536,evolution,0.612,intellectual,0.477,governmental,0.542,industry,0.514
56,system,0.409,expeditious,0.373,insuranc,0.586,econoi,0.536,scientitic,0.612,austria,0.477,strategical,0.542,peacemaking,0.514
57,considerate,0.409,equita,0.372,nsurance,0.586,mioal,0.535,scientifc,0.612,internationalisation,0.477,quantitative,0.542,countrys,0.514
58,adoptd,0.408,handinhand,0.371,jjfe,0.586,funebal,0.535,ecouomical,0.611,eduoational,0.476,statesmanship,0.542,socialisation,0.514
59,rigorous,0.408,lbion,0.371,assuraice,0.585,econoiy,0.534,scientillc,0.611,democratising,0.476,threeparty,0.542,disarma,0.513
60,amelioration,0.408,asurance,0.371,farmersand,0.585,establisued,0.534,equitable,0.608,racial,0.476,overpopulation,0.541,resources,0.513
61,niggardly,0.408,assu,0.37,elican,0.584,eeonomy,0.533,oomplex,0.608,internal,0.476,reestablishment,0.541,industrialism,0.512
62,salutary,0.407,blachfriars,0.366,—established,0.584,uneral,0.532,scientiiic,0.608,alsacelorraine,0.475,rearmament,0.541,mically,0.511
63,utopian,0.407,cheap,0.366,ineurance,0.583,economj,0.53,interdependence,0.608,sianism,0.475,insecurity,0.541,mplan,0.511
64,metaphysical,0.407,ljfe,0.366,selfprotecting,0.583,jiuneral,0.53,economicl,0.607,marxian,0.475,italoethiopian,0.541,cracies,0.511
65,reme,0.407,nuity,0.365,delican,0.582,econo,0.53,inical,0.607,strategic,0.475,pioblems,0.54,sociological,0.51
66,enlightened,0.406,deniiam,0.364,officbs,0.582,ijihe,0.53,heusive,0.607,geographical,0.474,capitalist,0.54,stabilisa,0.51
67,institutions,0.405,offick,0.364,inurance,0.58,cheapbide,0.529,princiules,0.605,pussia,0.473,countrys,0.539,fourpower,0.51
68,moial,0.404,kates,0.362,equitahle,0.58,tconomy,0.528,ecientific,0.605,antisocial,0.473,industry,0.539,un0,0.509
69,philo,0.404,fireinsurance,0.36,absurance,0.58,mical,0.528,theoretic,0.605,austriahun,0.473,°mic,0.539,european,0.509
70,nalure,0.404,assuranceoffice,0.359,xife,0.578,econemy,0.526,soientific,0.604,selfpreservation,0.473,dictatorship,0.539,unrealistic,0.509
71,emanating,0.404,blackfriars—,0.358,ijfe,0.578,chbapside,0.525,interaction,0.604,selfdetermination,0.473,amelioration,0.539,ideology,0.508
72,wasteful,0.403,chathamplace,0.358,jlife,0.578,sanitation,0.524,industrialism,0.604,politi,0.471,disarma,0.538,integrate,0.508
73,politics,0.403,insnred,0.358,assarance,0.578,economyand,0.523,presentday,0.603,domination,0.471,catastrophic,0.535,democracy,0.505
74,governing,0.403,assurane,0.358,qcottish,0.578,leibigs,0.523,jractical,0.602,evolutionary,0.471,ameliora,0.535,europes,0.504
75,rational,0.403,comiany,0.357,asurance,0.577,econonmical,0.522,evolntion,0.6,chauvinistic,0.471,germanys,0.535,bedevilled,0.504
76,morality,0.402,ltfe,0.357,phg3nix,0.577,chemioal,0.522,ecouomy,0.599,envisaged,0.47,psychological,0.535,capitalist,0.503
77,highminded,0.402,coaipany,0.357,resham,0.577,liebegs,0.521,scientitie,0.599,postulates,0.47,alignments,0.535,independence,0.503
78,thropy,0.402,nuities,0.356,insu,0.576,domestid,0.521,prlnciples,0.599,proletariat,0.47,dictatorships,0.535,inflationary,0.503
79,principlesof,0.402,firte,0.356,assuranck,0.575,ecnomy,0.521,erinciples,0.599,russias,0.469,realities,0.534,integrated,0.502
80,adopting,0.402,adelaideplace,0.356,actnary,0.575,showrooms—,0.521,scientinc,0.598,nonintervention,0.469,expediency,0.534,implications,0.502
81,theorists,0.402,iifk,0.355,aurance,0.575,establishbd,0.521,economyand,0.598,meltingpot,0.469,actualities,0.533,socialism,0.502
82,prudential,0.401,ijfe,0.353,m1utual,0.574,ieconomy,0.52,corelation,0.598,demnities,0.469,mandates,0.532,economically,0.502
83,gality,0.401,blaekfriars,0.353,asstrance,0.574,impboved,0.52,politicoeconomic,0.598,solidarity,0.468,racial,0.532,prosperity,0.502
84,frugal,0.401,idfe,0.353,estarlished,0.574,eoonomy,0.519,mdustrial,0.598,czechoslovakia,0.467,armaments,0.532,britishfrench,0.502
85,methodism,0.4,lifk,0.352,assuranec,0.574,prinniple,0.519,utilitarian,0.597,regularising,0.466,intransigence,0.532,overriding,0.501
86,humane,0.4,eco,0.352,assurence,0.573,estarlishment,0.518,ethical,0.597,warweariness,0.465,politically,0.532,unifying,0.501
87,principles,0.399,chesp,0.351,insubance,0.572,fujneral,0.516,sociological,0.596,evolution,0.465,ideologies,0.532,cracy,0.501
88,charita,0.399,insuran,0.35,issurance,0.571,principh,0.515,laissezfaire,0.596,revolution,0.465,afterwar,0.53,solvency,0.501
89,noral,0.398,cornhill—,0.349,officks,0.57,utility—the,0.514,prinsiples,0.596,problems,0.465,sociological,0.53,finan,0.501
90,developes,0.397,publiclife,0.349,assuranee,0.57,establisn,0.513,scientilie,0.596,prussianised,0.465,superstate,0.53,democratisation,0.5
91,humnane,0.397,£3600,0.349,assurances—,0.569,80called,0.512,landownership,0.595,democratic,0.464,unrest,0.53,russopolish,0.5
92,jacobinical,0.397,biackfriars,0.348,conomical,0.569,economyof,0.512,ecoomy,0.595,garias,0.464,uneconomic,0.53,irreconcilable,0.5
93,pugnant,0.396,econo,0.348,piicenix,0.569,cabbiage,0.512,scientihc,0.595,presupposed,0.464,plexities,0.529,armaments,0.499
94,disseminating,0.396,assuranice,0.348,camroux,0.568,economlical,0.512,principlesand,0.594,cational,0.464,overproduction,0.528,administration,0.498
95,economist,0.396,vident,0.347,assurancet,0.568,goundrys,0.511,pbinciple,0.594,strategical,0.464,interracial,0.527,nomy,0.498
96,supercede,0.395,comhiu,0.346,economy,0.568,establishes,0.51,scientiftc,0.593,annexationists,0.464,stabilising,0.526,domination,0.497
97,practiceof,0.395,tnsurances,0.346,ttniversal,0.567,fjihe,0.51,workingout,0.592,prussianism,0.463,civilisation,0.526,financia,0.497
98,austere,0.395,olflce,0.343,offices—,0.567,exposition,0.509,prinuiples,0.592,unrest,0.463,romeberlin,0.525,racial,0.497
99,lectual,0.395,assuratice,0.343,asssurance,0.566,tea—pure,0.509,economicai,0.592,reconstruction,0.462,rationalisation,0.525,imperialism,0.497
