,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
32,terrors,0.384,remote,0.359,affeft,0.393,valleys,0.429,fhadc,0.438,imagination,0.43,swamps,0.492,depths,0.659,configuration,0.663,hemisphere,0.7,scarpe,0.752,territory,0.477,northwest,0.519
33,creature,0.383,gloom,0.359,fpreads,0.393,fancys,0.428,meanders,0.438,summits,0.429,zembla,0.488,region—,0.658,stretches,0.663,torrid,0.699,pilitza,0.752,reafforestation,0.477,modane,0.518
34,eternity,0.383,earrh,0.359,irfelf,0.393,halcyon,0.427,windings,0.437,effulgence,0.429,continents,0.486,regien,0.658,embouchure,0.663,chotts,0.699,friedrichstadt,0.751,battlefront,0.477,province,0.517
35,torrent,0.383,corporeal,0.357,mountainous,0.392,liftning,0.423,pellucid,0.436,intensity,0.429,tribes,0.485,steppes,0.657,ramifying,0.662,übangi,0.698,neuville,0.75,zone,0.476,northeast,0.516
36,pleasing,0.382,zone,0.357,inactivity,0.391,explore,0.423,flame,0.436,pervading,0.427,bosom,0.485,terraqueous,0.655,zone,0.66,sierras,0.698,plateau,0.75,danakil,0.476,mitau,0.515
37,apostle,0.379,instinct,0.356,itfelf,0.39,ftray,0.422,remote,0.435,penetrates,0.427,cimmerian,0.483,denudation,0.655,riverbed,0.66,atterek,0.697,tahure,0.75,teschen,0.475,tosno,0.515
38,harsh,0.379,shines,0.356,zone,0.387,hurld,0.421,gloomy,0.434,stillness,0.426,gions,0.481,gulfstream,0.655,plaius,0.66,primaeval,0.697,souchez,0.75,estremadura,0.475,southwest,0.515
39,confusion,0.378,baneful,0.355,behold,0.387,rugged,0.42,flream,0.434,cheerless,0.426,earth,0.481,morasses,0.654,unexplored,0.659,solitudes,0.697,nouvron,0.75,eurone,0.474,kexholm,0.515
40,behold,0.378,conveys,0.355,warmer,0.386,foaring,0.419,mountains,0.434,emanation,0.426,ocean—,0.481,latitudes,0.653,sunderbunds,0.658,alleghanies,0.696,chavignon,0.749,province,0.472,herzegovina,0.515
41,brightest,0.377,kindles,0.355,breafts,0.385,midft,0.419,refplendent,0.434,fastnesses,0.425,cordillera,0.48,savannahs,0.653,gulfs,0.658,alps,0.694,corbeny,0.749,plateau,0.471,southeast,0.514
42,chaos,0.376,fprings,0.354,fhape,0.385,pafiions,0.417,exploring,0.434,atmosphere,0.425,pathless,0.48,oceans,0.652,strata,0.657,tegion,0.693,souain,0.748,sector,0.471,premeti,0.512
43,sublime,0.373,behold,0.354,streams,0.384,folitude,0.417,etherial,0.434,primeval,0.425,depths,0.48,fathomless,0.652,convolutions,0.656,tundra,0.692,asiago,0.747,baneh,0.471,donets,0.512
44,anger,0.373,exhalations,0.354,emblem,0.384,terreftrial,0.416,imagination,0.433,appenines,0.425,stygian,0.478,mountains—,0.65,ravines,0.655,coastlines,0.691,regiou,0.746,karahissar,0.471,kropotkin,0.512
45,infernal,0.369,climate,0.354,unerring,0.384,midlt,0.415,torrid,0.433,poesy,0.424,enchantments,0.478,iguana,0.647,fissure,0.655,kalahari,0.69,aisno,0.746,habitants,0.471,cherkassi,0.512
46,features,0.369,clouds,0.354,gloomy,0.383,mortals,0.414,fky,0.432,vallies,0.423,wanders,0.477,appennines,0.646,region—,0.655,ngami,0.689,kimpolung,0.744,foothills,0.471,castelforte,0.511
47,univerfe,0.368,worlds,0.353,thunders,0.383,gleam,0.414,impervious,0.432,gions,0.423,firmament,0.474,vallies,0.646,upheavals,0.654,headwaters,0.689,croisilles,0.744,mountainous,0.471,susak,0.511
48,smiles,0.368,zones,0.353,predominant,0.382,frenzy,0.414,rankling,0.431,fabled,0.423,carboniferous,0.474,himalayan,0.646,kiddeys,0.654,morasses,0.687,prosnes,0.743,harz,0.47,mideast,0.511
49,degenerate,0.368,climes,0.352,billows,0.381,ftars,0.413,broods,0.431,paganism,0.421,vallies,0.474,granitic,0.646,mountainous,0.653,appenines,0.686,vallarsa,0.743,swamps,0.469,localities,0.51
50,mortals,0.368,streams,0.351,verdure,0.381,flrain,0.413,ftrcam,0.428,climes,0.42,exploring,0.474,snrface,0.645,promontories,0.652,defiles,0.684,meuse,0.743,guadarrama,0.469,velikie,0.509
51,cloudy,0.368,ascending,0.351,hunger,0.38,inexhauftible,0.413,wanderd,0.427,uncivilized,0.417,meanders,0.473,lagoon,0.645,coastline,0.65,lybian,0.684,oituz,0.743,subcontinent,0.469,southcast,0.509
52,discord,0.367,boundlefs,0.349,infenfibility,0.38,rcene,0.412,condenfed,0.427,gloom,0.416,explorer,0.472,detritus,0.645,torrid,0.65,fastnesses,0.682,postavy,0.742,goldbearing,0.468,maloyaroslavets,0.508
53,desolation,0.366,summit,0.349,veins,0.38,fphere,0.412,earths,0.427,explored,0.415,recesses,0.472,promontory,0.644,coalmeasures,0.649,usagara,0.682,vailly,0.742,headwaters,0.468,stary,0.508
54,exalted,0.366,imagination,0.348,folitary,0.38,ineffable,0.411,murky,0.427,mingles,0.415,illumes,0.472,remoter,0.644,circumjacent,0.648,brahmaputra,0.682,yosges,0.742,anhwei,0.468,lozovaya,0.507
55,absurdity,0.365,abodes,0.348,beauteous,0.379,enthu,0.411,reveald,0.427,flowd,0.415,afiica,0.472,wideextended,0.643,latitudes,0.648,paropamisus,0.682,mariampol,0.742,transcaucasia,0.467,pyinmana,0.507
56,arose,0.364,planets,0.348,ficknefs,0.378,gination,0.411,cavity,0.426,whirlwinds,0.415,promontories,0.471,tauric,0.643,gulf,0.648,kassai,0.68,courtecon,0.742,coastline,0.466,donbas,0.506
57,impertinence,0.364,sources,0.347,defarts,0.377,fccne,0.41,denfe,0.426,dominion,0.414,simoom,0.471,zones,0.643,limpopo,0.648,tundras,0.68,dvinsk,0.74,area,0.465,kremen,0.506
58,beholding,0.364,shadow,0.347,fubftance,0.376,glowd,0.409,fpheres,0.424,murky,0.414,tableland,0.471,horixon,0.643,cavernous,0.648,tablelands,0.679,mlawa,0.74,garrisoning,0.464,devoli,0.504
59,populous,0.363,fabulous,0.346,fymptoms,0.376,strife,0.409,inhofpitable,0.424,exuberance,0.414,world,0.47,subjacent,0.643,vaueys,0.648,coastline,0.679,bezonvaux,0.74,fastnesses,0.464,zhmerinka,0.503
60,joys,0.363,earths,0.346,phantom,0.375,mahometan,0.409,orbits,0.424,billowy,0.413,sennaar,0.47,cataracts,0.641,pharynx,0.647,equatorial,0.678,noyon,0.74,shyok,0.464,konotop,0.503
61,rises,0.363,sophocles,0.346,fhadow,0.374,lavage,0.409,fouree,0.424,sunbeams,0.413,unpeopled,0.47,inhospitable,0.639,farspreading,0.647,extremities,0.678,giudicaria,0.74,europo,0.464,nanning,0.502
62,sky,0.362,source,0.346,beneath,0.372,fmild,0.409,darknefs,0.424,imaginations,0.413,oceanic,0.468,gulf,0.637,alleghanies,0.647,valleys,0.677,bouchavesnes,0.739,outposts,0.464,bernay,0.5
63,around,0.362,chaos,0.346,difcord,0.37,ihade,0.409,diffufes,0.424,heavens,0.412,basaltic,0.468,convolutions,0.637,promontory,0.646,ravines,0.677,perthes,0.739,interregional,0.462,morava,0.499
64,earth,0.362,heaviness,0.345,verdant,0.369,forrow,0.408,drear,0.423,streamlet,0.412,wilderness,0.468,underlying,0.636,nilotic,0.646,unpeopled,0.676,adamello,0.738,narew,0.462,smyela,0.499
65,midft,0.361,zenith,0.345,ravaged,0.368,tribes,0.408,fwamps,0.422,craggy,0.411,dreary,0.467,cavernous,0.636,upheaval,0.644,earths,0.675,rabrovo,0.738,graingrowing,0.461,hinterland,0.499
66,amazing,0.361,warmd,0.345,wildernefs,0.368,radiance,0.408,explores,0.422,ftrata,0.411,penetrated,0.467,unpeopled,0.636,extremity,0.644,apennines,0.675,vauxaillon,0.737,pliocene,0.461,towns,0.499
67,repetition,0.36,tubes,0.345,hideous,0.368,conceald,0.407,glimpfe,0.422,membrane,0.411,himalaya,0.467,world—and,0.636,rgion,0.644,lagoon,0.674,hangard,0.737,ismid,0.46,avellino,0.499
68,pleasures,0.36,boundless,0.345,atlantic,0.367,heaven,0.407,folitude,0.421,world,0.411,uncivilised,0.466,alleghanies,0.636,wildernesses,0.642,ravine,0.674,suippe,0.736,territories,0.46,peloponnesus,0.499
69,beginnings,0.36,paints,0.343,feafons,0.367,fnowy,0.407,diffufion,0.42,pestiferous,0.411,volcanoes,0.466,icefields,0.635,appennines,0.642,volcanic,0.674,focsani,0.736,jarama,0.46,widelyseparated,0.499
70,insensible,0.359,meanness,0.343,putrid,0.366,domain,0.407,unfrequented,0.419,clouds,0.411,occipital,0.465,abysses,0.634,precipices,0.642,tributary,0.673,moreuil,0.736,libyan,0.459,moldavia,0.498
71,distant,0.359,scene,0.342,ftruggle,0.365,aweful,0.407,wilds,0.419,atlantic,0.41,earththe,0.463,gangetic,0.634,gravitates,0.642,jungle,0.673,narotch,0.736,alps,0.459,chieti,0.498
72,simplicity,0.358,difant,0.342,emotions,0.365,agonizing,0.406,ftrata,0.419,splendours,0.41,circumjacent,0.463,fardistant,0.633,primeval,0.641,grainproducing,0.672,altkirch,0.735,aixlachapelle,0.457,bitburg,0.497
73,lovely,0.358,worid,0.341,meteors,0.365,hallowd,0.406,lurface,0.418,skies,0.41,valley,0.463,lagoons,0.632,mouutains,0.64,configuration,0.672,suippes,0.735,guerillas,0.457,noyers,0.497
74,impertinent,0.357,rocky,0.341,fertile,0.364,phantom,0.406,darkened,0.418,rugged,0.41,imagination,0.463,cavern,0.632,savannahs,0.638,foothills,0.672,gorizia,0.735,pyrenees,0.457,lomza,0.496
75,blest,0.357,descending,0.34,fplendor,0.363,baleful,0.405,ambient,0.418,diverging,0.41,diluvian,0.462,torrid,0.632,expanse,0.638,shoreline,0.672,wytschaete,0.735,hupeh,0.457,bataisk,0.496
76,fancy,0.356,sagacious,0.339,fcarcity,0.362,nations,0.405,pafiion,0.418,sphere,0.409,ventricle,0.462,quakes,0.632,ravine,0.637,confines,0.671,louvemont,0.734,wildernesses,0.456,campobasso,0.496
77,beheld,0.356,dillant,0.339,anguifh,0.362,didft,0.405,empties,0.417,cloudless,0.409,phere,0.462,mountaina,0.631,fastnesses,0.637,cretaceous,0.67,leintrey,0.734,concentrations,0.456,soissons,0.496
78,aspect,0.356,macedonia,0.339,forlorn,0.362,fpheres,0.404,torturd,0.416,horizon,0.409,volcanos,0.462,plutonic,0.631,bifurcation,0.637,midafrica,0.67,hetsas,0.734,eritrea,0.456,novograd,0.496
79,huge,0.356,antihyftericks,0.339,luminous,0.362,boundlefs,0.404,unnumberd,0.416,sameness,0.409,libyan,0.461,mountaius,0.63,oceans,0.636,altitudes,0.67,souville,0.734,antarctica,0.456,medjezelbab,0.496
80,objects,0.356,briny,0.338,ftitution,0.362,fireams,0.403,flumber,0.416,torrid,0.408,shores,0.46,stratification,0.63,affluents,0.636,equator,0.67,loivre,0.734,surgents,0.456,ayoum,0.496
81,creatures,0.355,degenerate,0.338,flowrs,0.361,fway,0.402,fhores,0.415,glowed,0.408,rugged,0.46,regione,0.63,himalayas,0.636,veldt,0.669,caurieres,0.733,brucken,0.456,zone,0.495
82,smile,0.355,infinity,0.338,magnitude,0.36,thine,0.402,fiource,0.415,twinkling,0.407,charnelhouse,0.459,convolution,0.629,lakelets,0.636,jungles,0.669,seotor,0.733,sparselypopulated,0.456,bakhmach,0.495
83,heathens,0.355,midfl,0.337,produces,0.36,lonely,0.402,diffufing,0.414,flowrs,0.407,appenines,0.459,radiate,0.629,watersheds,0.635,precipices,0.669,belloy,0.733,vilages,0.455,roermond,0.495
84,difmal,0.355,piercing,0.337,abounds,0.36,frigid,0.402,tribes,0.414,refulgent,0.407,polar,0.458,promontories,0.629,clefts,0.635,morass,0.668,thiaucourt,0.733,faeroes,0.455,narev,0.494
85,perplexity,0.354,ihines,0.337,uncultivated,0.359,fummit,0.402,changeful,0.414,towring,0.407,dweller,0.458,regions—,0.629,primaeval,0.635,slopes,0.668,merckem,0.732,somewhere,0.455,djedeida,0.494
86,springs,0.354,fertile,0.337,terrors,0.359,heavn,0.401,gleam,0.413,vanishes,0.407,illumines,0.458,morass,0.628,solitudes,0.634,stratification,0.667,hebuterne,0.732,chahar,0.455,dubno,0.493
87,heavens,0.354,phantoms,0.336,ftone,0.359,wondring,0.401,ebullitions,0.413,shadows,0.407,explore,0.458,extremities,0.627,depths,0.634,primeval,0.667,mesnil,0.732,karelian,0.454,gzhatsk,0.493
88,amazed,0.354,natures,0.336,habitual,0.359,pinions,0.401,sphere,0.412,earths,0.407,sunbright,0.457,strata,0.626,undulations,0.633,malarious,0.667,chattancourt,0.732,bridgeheads,0.454,osna,0.493
89,popular,0.353,glories,0.336,peopled,0.358,world,0.401,flowrets,0.412,murmuring,0.407,bronchial,0.457,moun,0.626,stratification,0.633,tideless,0.667,fereentardenois,0.731,dodecanese,0.454,petrovsk,0.493
90,calamity,0.353,eartb,0.336,object,0.358,hcavn,0.401,blifsful,0.411,gravitation,0.406,sky—,0.457,vein,0.626,titicaca,0.633,strata,0.667,sugana,0.731,unexplored,0.453,chalons,0.493
91,tremble,0.353,molten,0.336,productive,0.358,vernal,0.401,tpread,0.411,myriads,0.406,torrid,0.457,explores,0.626,jungles,0.633,himalayas,0.667,beauvraignes,0.731,tribes,0.453,giessen,0.492
92,familiarity,0.352,chymically,0.336,funs,0.358,abyfs,0.399,abyfs,0.411,pang,0.406,treasures,0.457,primeval,0.625,plutonic,0.633,everglades,0.666,brzezany,0.73,burgenland,0.453,sozh,0.491
93,greatnefs,0.352,legends,0.335,fouls,0.358,tremendous,0.399,vein,0.411,bleak,0.406,sky,0.457,pestilential,0.624,spinifex,0.633,nountains,0.665,juvincourt,0.73,nantao,0.451,risle,0.491
94,muses,0.352,hell,0.334,panick,0.358,torturd,0.399,emanations,0.411,valley,0.405,regions—,0.456,rockv,0.623,peuetrate,0.632,karroo,0.665,vrigny,0.73,dnieper,0.45,pogradets,0.491
95,anguish,0.352,terrestrial,0.334,recefs,0.357,amidit,0.399,workings,0.41,cherishd,0.405,ferruginous,0.456,steppe,0.623,tainous,0.632,abysmal,0.664,hurlus,0.73,auriferous,0.45,rogachev,0.491
96,monsters,0.35,veins,0.334,fubterraneous,0.357,midfl,0.399,fkies,0.41,expanded,0.405,radiance,0.455,seabord,0.622,rocky,0.632,mnountains,0.663,nauroy,0.73,comitadjis,0.45,luneville,0.491
97,awake,0.35,altitude,0.334,falfehood,0.356,firife,0.399,fliade,0.409,untutored,0.405,penetrate,0.455,egions,0.621,appenines,0.631,marshy,0.663,roclincourt,0.73,enclave,0.449,sereth,0.491
98,graceful,0.35,shade,0.333,objedts,0.356,tomb,0.399,unknowing,0.409,illumine,0.405,blorenge,0.454,faroff,0.621,intertropical,0.631,extremity,0.663,moglena,0.729,walwal,0.449,pichon,0.49
99,firange,0.348,around,0.333,gloom,0.356,glows,0.398,difpelled,0.409,unexplored,0.404,subterranean,0.454,chaudiere,0.621,fertilises,0.63,region—,0.663,garbunovka,0.729,sectors,0.449,eschweiler,0.49
