,en_1720,en_1720_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
57,disputation,0.41,suggested,0.54,develop,0.489,allude,0.469,ignore,0.634,prejudge,0.688,discum,0.713,reconsidering,0.533,regularise,0.529,problems,0.5
58,ssiou,0.409,hesitate,0.539,sider,0.489,coisider,0.468,questiod,0.634,consiiler,0.687,relegate,0.713,convene,0.531,submit,0.528,deliberations,0.499
59,decide,0.409,legislature,0.538,qtestion,0.488,questionl,0.468,idiscussion,0.634,cougress,0.686,expound,0.712,vestigate,0.53,conferenc,0.527,communicated,0.498
60,ffiew,0.409,mneasure,0.538,piopose,0.488,modify,0.466,oonsider,0.633,reformand,0.685,prejudge,0.712,oonfer,0.529,cooperato,0.527,meeting,0.498
61,question,0.408,hecause,0.538,considcr,0.488,eonsider,0.465,arraign,0.632,discussod,0.684,determine,0.712,argue,0.529,regard,0.526,affecting,0.498
62,specify,0.408,considering,0.537,justify,0.487,adjudicate,0.464,enterinto,0.631,dogmatize,0.683,deoide,0.709,considor,0.528,approve,0.524,clarification,0.497
63,disputes,0.408,propositions,0.536,hewished,0.487,interfeie,0.464,discass,0.631,poohpooh,0.682,dealwith,0.709,agree,0.527,dscussed,0.524,revise,0.495
64,subjoin,0.407,converse,0.536,refornm,0.486,ijuestion,0.461,longagitated,0.631,donsider,0.682,discusi,0.706,conferenco,0.526,vexed,0.524,thrash,0.495
65,declar,0.407,disavow,0.535,derision,0.485,alopt,0.46,discuseed,0.63,dogmatise,0.681,explaiu,0.706,expound,0.525,meet,0.524,compromise,0.491
66,congress,0.406,tospeak,0.534,subjed,0.485,thiswhether,0.46,abrogate,0.63,oongress,0.681,postpone,0.705,discussions,0.524,grapple,0.523,consultative,0.489
67,finisli,0.405,reconsider,0.534,revise,0.485,refute,0.46,grapple,0.63,deoide,0.681,oonsidor,0.704,discusses,0.521,tripartite,0.523,regard,0.489
68,solv,0.405,profess,0.533,promulgate,0.485,questioi,0.46,coisider,0.629,postpone,0.681,coneider,0.704,cooperate,0.52,regarding,0.523,governments,0.488
69,controverly,0.405,subjea,0.533,mlinisters,0.483,questiou,0.459,conference,0.629,discusscd,0.68,disenssing,0.701,delegates,0.52,amicably,0.522,matters,0.488
70,siders,0.404,tostate,0.533,controvert,0.482,thisquestion,0.459,sider,0.628,reargue,0.68,investigate,0.699,discission,0.519,expound,0.522,questions,0.488
71,occurr,0.403,itself,0.532,considet,0.481,reject,0.459,eiuestion,0.628,expound,0.679,coosider,0.698,submit,0.518,ascertain,0.52,oeec,0.488
72,compell,0.402,pursue,0.531,decision,0.48,adveit,0.459,legislat,0.627,questiob,0.679,expiain,0.696,formulating,0.518,cussions,0.519,reconsidered,0.487
73,acquiesce,0.401,seem,0.531,coisider,0.479,define,0.459,questiou,0.626,scuss,0.679,propound,0.696,aocede,0.518,compromise,0.519,reconsideration,0.487
74,undetermined,0.401,persist,0.53,determine,0.479,scrutinize,0.459,deeide,0.626,questiou,0.678,settlethe,0.696,questioh,0.516,plenary,0.519,considering,0.486
75,oblerv,0.401,subje,0.528,disapprove,0.478,remonstrate,0.459,qdestion,0.626,longdebated,0.678,coniider,0.696,disenssed,0.516,devise,0.518,consultation,0.484
76,redressed,0.401,becauise,0.528,legislation,0.478,coissider,0.459,dogmatise,0.626,censider,0.676,considar,0.696,informally,0.514,delegation,0.518,argue,0.484
77,convinc,0.399,consideredas,0.528,reforin,0.478,tointerfere,0.459,considler,0.626,debated,0.675,contider,0.696,speak,0.514,asrree,0.518,agree,0.482
78,sider,0.398,reasoning,0.527,postpone,0.478,subjectmatter,0.458,meetand,0.625,considar,0.674,discussed,0.695,oonsidcr,0.513,reconcile,0.518,matter,0.481
79,furnissi,0.398,legislation,0.527,questions,0.478,allimportant,0.457,arguo,0.625,diecussed,0.674,aonsider,0.695,agreo,0.513,confeience,0.518,posals,0.48
80,empioy,0.398,argue,0.527,consideiation,0.478,considerthe,0.457,discussionand,0.625,corclusion,0.673,ignore,0.694,epeak,0.513,reconsideration,0.517,convened,0.48
81,essential,0.397,ascertain,0.526,submi,0.477,debate,0.456,assenting,0.624,questien,0.672,oriticise,0.693,intervene,0.513,nego,0.517,debate,0.479
82,engag,0.397,ques,0.525,submitted,0.476,consult,0.456,settlo,0.624,corference,0.672,beasked,0.692,prejudge,0.513,negotia,0.517,parleys,0.479
83,osser,0.396,disclose,0.525,analyse,0.476,questionand,0.456,ndopt,0.623,discussiug,0.672,discuso,0.691,collaborate,0.512,deputa,0.515,lems,0.478
84,remonstrated,0.395,disclaim,0.523,propoe,0.476,recapitulate,0.456,homologate,0.623,discusse,0.672,formulat,0.691,relegate,0.512,representatives,0.514,interfere,0.478
85,encreas,0.395,postpone,0.523,legislature,0.476,atlopt,0.456,expain,0.623,udopt,0.671,postpono,0.689,reoonsider,0.511,argue,0.514,envisage,0.478
86,dehver,0.395,persuade,0.523,reconsideration,0.476,propose,0.456,conferenco,0.623,discusing,0.671,ccnsider,0.689,coasider,0.51,ratification,0.514,introduce,0.478
87,commenc,0.394,disclosure,0.523,advert,0.476,discussin,0.456,qusstion,0.622,onsider,0.671,discusing,0.688,queetion,0.51,discussion,0.514,subcommittee,0.477
88,resolvd,0.393,respeting,0.523,grievances,0.476,questior,0.455,questioa,0.621,confereace,0.67,discuseing,0.688,censider,0.509,executives,0.513,formu,0.476
89,consirm,0.393,uestion,0.523,reconcile,0.476,consitler,0.455,ouestion,0.621,qnostion,0.67,reoonsider,0.687,oonsidor,0.508,proposals,0.513,reconsidering,0.476
90,believ,0.391,hesaid,0.523,arraign,0.475,considr,0.454,suuject,0.621,thequestion,0.67,interpose,0.687,amicably,0.508,agreo,0.512,ascertain,0.476
91,abolish,0.39,shottld,0.522,descant,0.474,discussio,0.454,explaiu,0.621,cussed,0.67,dccide,0.687,allude,0.508,redraft,0.511,representatives,0.476
92,considering,0.39,respeft,0.522,ascertain,0.474,dispas,0.453,advert,0.62,ooneider,0.67,thequestiou,0.686,expiain,0.507,grievances,0.511,elucidation,0.474
93,dismiss,0.39,respet,0.522,qnestion,0.472,explaiu,0.453,enunciate,0.62,decidethe,0.669,considerand,0.686,proposals,0.507,examine,0.51,authorise,0.472
94,stated,0.389,respea,0.522,oppose,0.472,controversy,0.453,queition,0.62,conmider,0.669,conider,0.686,ques,0.506,dictate,0.51,informally,0.472
95,establifh,0.389,establish,0.521,suppress,0.472,juestion,0.453,considr,0.619,emestion,0.668,disculss,0.685,inquire,0.506,queetion,0.51,participate,0.471
96,suggested,0.389,considcr,0.521,propose,0.472,corsider,0.453,questibn,0.619,explainthe,0.667,exnlain,0.684,snbmit,0.506,envisage,0.509,tigate,0.471
97,finiffi,0.389,toshew,0.521,terfere,0.471,qluestion,0.452,reaffirm,0.619,explaiu,0.667,pospone,0.684,conferenc,0.506,thrash,0.508,auestion,0.471
98,answer,0.388,consistent,0.52,eonsideration,0.471,qnestion,0.452,acoede,0.619,econsider,0.667,legislate,0.684,condemn,0.505,conferencc,0.508,cipate,0.471
99,sliew,0.388,respe,0.519,subjeft,0.47,todecide,0.451,bringforward,0.618,ejuestion,0.666,critioise,0.684,denounce,0.504,readjustment,0.507,inaugurate,0.47
