,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
85,borgarrätt,0.683,sydfrankrike,0.61,tarapaca,0.605
86,lagstiftningsmakt,0.683,lombardiet,0.61,gränsflod,0.605
87,ryssarno,0.682,sultanat,0.61,ögrupp,0.605
88,skyddsvakt,0.682,thracien,0.609,operationsbas,0.605
89,eröfringspolitik,0.681,östrumilien,0.609,spanmålsproducerande,0.604
90,matrikularbidragen,0.681,kassala,0.609,beharabien,0.604
91,pålska,0.681,insurrectionen,0.609,rumeniens,0.604
92,förbundsland,0.681,slafstaterna,0.609,annam,0.604
93,lydrike,0.681,kornbod,0.609,sydfrankrike,0.604
94,konsumtionsskatt,0.681,prevesa,0.608,afträdelse,0.604
95,hegemoni,0.681,ilerzegovina,0.608,återeröfring,0.603
96,revolutionsparti,0.68,cypern,0.608,insurrectionen,0.603
97,medlöra,0.68,pyrgos,0.608,donaufurstendömena,0.603
98,pinard,0.68,nanking,0.608,elsatz,0.603
99,makternes,0.68,sydtyrolen,0.608,sultanat,0.603
