,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
36,förgrening,0.782,bättrande,0.715,republikanst,0.658,militärwäsendet,0.658
37,kyrkoförfattning,0.781,muhamedanernas,0.715,handtwerkeriernas,0.658,republikanst,0.658
38,dsnna,0.78,sydslav,0.715,embetsmannavälde,0.657,handtwerkeriernas,0.658
39,machinationer,0.78,genomsyra,0.715,ntwcckling,0.657,embetsmannavälde,0.657
40,urverk,0.78,undergräfver,0.714,eristens,0.657,ntwcckling,0.657
41,grundpelare,0.78,landtmannapartister,0.714,osmanista,0.656,eristens,0.657
42,folkskolestadga,0.78,islamitisk,0.713,päwerkan,0.655,osmanista,0.656
43,ställö,0.78,koryfeer,0.713,förfwära,0.655,päwerkan,0.655
44,konungaätt,0.779,spekulationsandan,0.713,kroppsarbeta,0.655,förfwära,0.655
45,qvarblifvande,0.779,tilräckeligen,0.712,förswarswäsende,0.655,kroppsarbeta,0.655
46,förutgå,0.779,kulturförhållanden,0.712,intresie,0.654,förswarswäsende,0.655
47,enstämmighet,0.778,samfundsförhållanden,0.712,utwecklande,0.654,intresie,0.654
48,invalidhotell,0.778,prestadömet,0.712,lisssräga,0.654,utwecklande,0.654
49,vägbyggnad,0.778,sjelfbeständ,0.712,landsdelarnes,0.654,lisssräga,0.654
50,bätnad,0.778,representationsform,0.711,verldsfredens,0.654,landsdelarnes,0.654
51,representantkammare,0.778,samhällsinstitution,0.711,polilist,0.653,folklager,0.654
52,lärdomsstola,0.778,ideor,0.71,folklager,0.653,polilist,0.653
53,underwisningens,0.778,häfdvunnet,0.71,välständ,0.653,välständ,0.653
54,otydlighet,0.777,kommunall,0.71,sreden,0.653,sreden,0.653
55,sockenmagasin,0.777,valprincipen,0.709,humanisera,0.653,humanisera,0.653
56,postexpedition,0.777,själsbildning,0.709,grundåskådning,0.653,samhörighetskänsla,0.653
57,amalgamera,0.777,flendtliga,0.709,likaberättigande,0.653,grundåskådning,0.653
58,bestäcndc,0.777,uplysningen,0.708,folkfamilj,0.653,stormagter,0.652
59,råvara,0.777,folksuveränitet,0.708,stormagter,0.652,tweckling,0.652
60,omskapning,0.777,provinsiell,0.707,tweckling,0.652,nitälstan,0.652
61,sammanflyta,0.776,sjelfbeskattningsrätt,0.707,nitälstan,0.652,sinanciella,0.651
62,föreflaget,0.776,mcnstliga,0.706,sinanciella,0.651,förfäa,0.651
63,flathet,0.776,folkfamilj,0.706,förfäa,0.651,likaberättigande,0.651
64,hufwudfakliga,0.776,statsmagten,0.706,sangvinista,0.65,sangvinista,0.65
65,ätgörande,0.776,milissystem,0.706,sjelfbestämmelserätt,0.65,sjelfbestämmelserätt,0.65
66,ätlöje,0.775,mägtigaste,0.705,uräldriga,0.65,uräldriga,0.65
67,läroiverk,0.775,sjelsstyrelse,0.705,sträfwandena,0.649,lifsvillkor,0.649
68,skattemedel,0.775,konfession,0.705,bcwara,0.648,sträfwandena,0.649
69,tilfallen,0.775,lifsfrågor,0.705,andens,0.647,bcwara,0.648
70,sjörätt,0.775,förvildning,0.705,frihetssinne,0.647,skolsystem,0.648
71,statslyx,0.775,samfundsanda,0.705,magtegande,0.647,andens,0.647
72,afstaffas,0.775,föreningsfrihet,0.705,widsträcktaste,0.647,frihetssinne,0.647
73,handelsintresse,0.774,förtryckande,0.705,skolsystem,0.647,magtegande,0.647
74,hufvudgrunderna,0.774,näringstvång,0.704,samfundsordning,0.647,widsträcktaste,0.647
75,valurna,0.774,jordbruksintresse,0.704,unionsfientliga,0.646,folkfamilj,0.647
76,sakramenterna,0.774,grundvilkor,0.704,samhällig,0.646,samfundsordning,0.647
77,fullmyndig,0.774,prohibitivsystem,0.704,djnpaste,0.646,unionsfientliga,0.646
78,framhållande,0.773,landtdistrikten,0.704,ntveckling,0.646,samhällig,0.646
79,klah,0.773,obskurantism,0.703,symbolista,0.645,djnpaste,0.646
80,fänta,0.773,reformerande,0.703,obekantstap,0.645,ntveckling,0.646
81,motarbetande,0.773,samhälla,0.703,sörswarswäsende,0.645,symbolista,0.645
82,komiteens,0.773,flapphet,0.703,provincerne,0.645,obekantstap,0.645
83,orättmätig,0.773,medeltida,0.703,industristat,0.644,sörswarswäsende,0.645
84,folkläsning,0.773,möjeliga,0.702,ords,0.644,provincerne,0.645
85,wallachi,0.773,främjande,0.702,förkofring,0.644,ords,0.644
86,fåvitsk,0.772,kyrkoförfattning,0.701,trängbröstade,0.644,trängbröstade,0.644
87,öfverföllo,0.772,anarkist,0.701,monopolier,0.644,monopolier,0.644
88,äterstalla,0.772,oppositionel,0.7,qwinnokönet,0.644,qwinnokönet,0.644
89,räntegaranti,0.772,eganderättens,0.7,upoffra,0.643,upoffra,0.643
90,gatubelysning,0.772,machinationer,0.7,magtställning,0.643,magtställning,0.643
91,folkuppfostran,0.772,upmuntra,0.7,auctorer,0.643,auctorer,0.643
92,betryggadt,0.772,provinciella,0.7,wakenhet,0.643,wakenhet,0.643
93,naturprodukt,0.771,jordbruksidkande,0.699,utestntande,0.643,utestntande,0.643
94,öfwerflyttas,0.771,fullmyndig,0.699,subjektivism,0.642,subjektivism,0.642
95,upphäfda,0.771,vesterlandet,0.699,intresfen,0.642,intresfen,0.642
96,idkarne,0.771,faktion,0.699,ytterlighetsman,0.642,interesie,0.642
97,grosshandla,0.771,pacifikation,0.699,interesie,0.642,landtförswar,0.642
98,uräldriga,0.77,folkstammarne,0.699,landtförswar,0.642,wiöfa,0.641
99,militärperson,0.77,interesie,0.699,wiöfa,0.641,kulturförhållanden,0.641
