,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
67,konfession,0.679,författningsfråga,0.651,konfession,0.651
68,upphäswandet,0.679,lothringens,0.65,författningsfråga,0.651
69,framtidsmål,0.678,statsstyrelse,0.65,lothringens,0.65
70,integritet,0.678,centralregering,0.649,statsstyrelse,0.65
71,atschin,0.678,chablais,0.648,chablais,0.648
72,mairernas,0.677,östrumelien,0.647,rättsskipning,0.647
73,rumilien,0.677,septemberkonventionen,0.646,östrumelien,0.647
74,novibazar,0.677,kooperation,0.646,septemberkonventionen,0.646
75,parisertraktaten,0.676,territorial,0.645,kooperation,0.646
76,montcnegro,0.676,samhällsfrid,0.645,territorial,0.645
77,realunion,0.675,afträdelse,0.645,östasien,0.645
78,daimios,0.674,återupprättadt,0.644,samhällsfrid,0.645
79,qtto,0.674,arfsföljden,0.644,afträdelse,0.645
80,dualism,0.674,alliansfördrag,0.644,återupprättadt,0.644
81,territorial,0.674,envåldsmakt,0.643,arfsföljden,0.644
82,magterne,0.674,suveränitetsrättigheter,0.642,alliansfördrag,0.644
83,feodal,0.674,sidoordnad,0.642,envåldsmakt,0.643
84,septemberkonventionen,0.674,okränkbarhet,0.642,suveränitetsrättigheter,0.642
85,embetsmannavälde,0.674,rättsskipning,0.641,sidoordnad,0.642
86,lydstat,0.674,öfverhöghet,0.641,okränkbarhet,0.642
87,ärftlighet,0.674,atschin,0.64,öfverhöghet,0.641
88,kaperi,0.673,förhållanderne,0.64,atschin,0.64
89,flendtliga,0.673,bysslands,0.64,förhållanderne,0.64
90,militärorganisation,0.673,skyddsmakt,0.64,bysslands,0.64
91,besittningstagande,0.673,militärorganisation,0.64,skyddsmakt,0.64
92,arfsföljden,0.673,lagstiftningsmakt,0.64,militärorganisation,0.64
93,tillintetgörande,0.673,mohammedansk,0.64,lagstiftningsmakt,0.64
94,påfvestolen,0.672,dömet,0.64,mohammedansk,0.64
95,iberisk,0.672,jämlikhet,0.64,dömet,0.64
96,makternes,0.671,donauländerna,0.64,jämlikhet,0.64
97,magternas,0.67,själfstyrelse,0.64,stormagternas,0.64
98,äterupprätta,0.67,stormagternas,0.64,centralregering,0.64
99,separatfred,0.67,litisk,0.639,litisk,0.639
