,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
63,fortvara,0.796,thronerna,0.683,församlingslif,0.659,samhällsondt,0.659
64,själstillstånd,0.796,uppryckning,0.683,kastväsen,0.658,tidsriktning,0.658
65,förvridning,0.796,förvildning,0.683,trosdogm,0.658,trosdogm,0.658
66,menniskorätt,0.796,menniskonatur,0.682,föränderlighet,0.658,föränderlighet,0.658
67,familjelif,0.796,samhällelig,0.682,samhällsfarlig,0.658,förnuftsvidrig,0.657
68,tillfredställa,0.796,kälkborgerlig,0.682,förnuftsvidrig,0.657,grundåskådning,0.657
69,lifsfråga,0.795,uttveckling,0.681,grundåskådning,0.657,medborgareklasser,0.657
70,männistjan,0.795,efterlikna,0.681,andens,0.657,andens,0.657
71,följdriktig,0.794,samfundsanda,0.681,klasshat,0.657,verldshändelse,0.656
72,dstta,0.794,ruttenhet,0.68,verldshändelse,0.656,återförsätta,0.656
73,villomening,0.794,samhällsupplösande,0.68,samhällstillstånd,0.656,exklusivitet,0.656
74,kontinuitet,0.794,menniskorätt,0.68,återförsätta,0.656,sedolära,0.656
75,anan,0.794,genomsyra,0.68,exklusivitet,0.656,frosseri,0.656
76,ofrihet,0.794,sjelfwista,0.679,sedolära,0.656,själsutveckling,0.656
77,frenologi,0.794,trångbröstad,0.679,frosseri,0.656,samhällslifwet,0.655
78,supremati,0.794,vidgöra,0.679,själsutveckling,0.656,subjektivism,0.655
79,menniskonatur,0.794,socialistista,0.679,samhällslifwet,0.655,existence,0.655
80,böjlighet,0.793,tankefrihet,0.679,subjektivism,0.655,frihetskärlek,0.655
81,våckt,0.793,samfundsförhållanden,0.679,existence,0.655,lekmanna,0.654
82,qvantitativ,0.793,sinnesart,0.679,frihetskärlek,0.655,samhällsmoral,0.654
83,fullkomning,0.793,ideerna,0.679,människosläkte,0.654,klasshat,0.654
84,nimbus,0.793,albaneser,0.678,lekmanna,0.654,menuiskan,0.653
85,sjeltva,0.793,krigsförfattning,0.678,menuiskan,0.653,humanisera,0.653
86,nationalanda,0.793,skogssköflingen,0.678,humanisera,0.653,styrande,0.653
87,menniskovärde,0.793,själsarbete,0.678,styrande,0.653,onaturlighet,0.652
88,lättfärdighet,0.793,lärobegrepp,0.678,onaturlighet,0.652,nedärfd,0.652
89,bekämpande,0.793,outbildad,0.677,nedärfd,0.652,physiska,0.652
90,judendom,0.793,tankans,0.677,physiska,0.652,samhällstillstånd,0.652
91,näringstvång,0.792,banérförare,0.677,statsväsende,0.652,statsväsende,0.652
92,jemvigt,0.792,anarkist,0.677,antikristlig,0.651,antikristlig,0.651
93,insigler,0.792,fritänkeri,0.677,förirringar,0.651,förirringar,0.651
94,handelsintresse,0.792,osjelfständighet,0.677,vrånghet,0.65,förkofring,0.65
95,outvecklad,0.792,misskännande,0.676,platos,0.65,vrånghet,0.65
96,homogen,0.791,söräldrade,0.676,gudsbegrepp,0.649,platos,0.65
97,intellektuel,0.791,muhamedanernas,0.676,påfveväldet,0.649,gudsbegrepp,0.649
98,positif,0.791,verldsåskådningen,0.676,folkuppfostran,0.649,påfveväldet,0.649
99,gyckelspel,0.791,rigtigare,0.676,påfvisk,0.649,menniskorätt,0.649
