,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
81,digression,0.611,öppningstal,0.494,oberäknelighet,0.494
82,gunnerus,0.611,inpass,0.494,junkerpartiet,0.494
83,qvarstode,0.611,förvrängning,0.493,arbetarbörs,0.493
84,tillocbmed,0.611,gendref,0.493,instämmande,0.493
85,lifligasto,0.61,beskyllning,0.493,insidiös,0.493
86,afvogt,0.61,anfördo,0.493,hartmansdorffs,0.493
87,reichensperger,0.61,afvogt,0.493,reichsbote,0.493
88,troplong,0.61,obefogenhet,0.493,omstörtningsplaner,0.492
89,broschyrförfattare,0.609,instämmande,0.493,bevismaterial,0.492
90,dialektik,0.609,opäkallade,0.492,nttalande,0.492
91,hartmansdorffs,0.609,sidohugg,0.492,sofisteri,0.492
92,framstälts,0.609,nykterhetsintresse,0.492,kursivering,0.492
93,sviklig,0.609,sofisteri,0.492,frihandelstidningar,0.492
94,åmn,0.609,omstörtningsplaner,0.492,arbetarevän,0.491
95,yttran,0.609,angrepp,0.492,osannfärdighet,0.491
96,tidsenlighet,0.609,uppfordran,0.492,vullum,0.491
97,domarekår,0.609,partivän,0.491,afvogt,0.49
98,lidelsefullhet,0.609,vidhållande,0.491,digression,0.49
99,widhällit,0.609,ohöfligheter,0.491,utförligen,0.49
