,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
48,tölö,0.849,finanspolitik,0.516,memoarverk,0.461,sjuttioåring,0.488
49,björkebergs,0.849,omhvälfning,0.516,ståndsriksdagarne,0.46,hufvudstads,0.487
50,wingåkers,0.849,wienerkongressen,0.514,teatersäsong,0.46,ståndsriksdagarne,0.487
51,tunaläns,0.849,skatteväsende,0.512,innehällsrikt,0.46,uppfostringsfråga,0.486
52,wädtle,0.849,rekapitulation,0.512,nydaning,0.459,puschkins,0.486
53,kimstad,0.849,180g,0.512,hänsvunnen,0.459,författningsstrid,0.486
54,skärstads,0.848,framåtgående,0.511,gådgna,0.458,nydaning,0.486
55,funbo,0.848,nattvardsfrågan,0.511,jernvägsfrågan,0.458,affärsverlden,0.486
56,tunhems,0.848,interessantare,0.511,événement,0.458,orgelbyggeri,0.486
57,snaflunda,0.847,arbetarefråga,0.51,kulturell,0.458,repetitorium,0.485
58,tulli,0.847,rekryteringslag,0.51,uppständna,0.457,händelserik,0.485
59,stensele,0.847,nomadfolk,0.51,särekildt,0.457,uppsving,0.485
60,flisby,0.846,konsekvens,0.51,kursfördelning,0.457,tigtiga,0.484
61,sefwedes,0.846,viglen,0.509,regeringspolitik,0.457,påbegynna,0.484
62,selångers,0.845,skoltvång,0.509,gradation,0.457,crisis,0.483
63,bankeryds,0.845,ståndsrepresentation,0.509,landtmannapartien,0.457,glansdagar,0.483
64,döderhults,0.845,presslag,0.509,myccet,0.457,hänsvunnen,0.483
65,thorsäs,0.845,jernvägssystem,0.508,landtdagsvalen,0.457,redande,0.482
66,nysunds,0.845,repetitorium,0.508,skeppsbyggnadskonst,0.456,vänning,0.482
67,bärad,0.844,kulturfråga,0.508,vänning,0.456,afslutando,0.482
68,harg,0.844,frostväder,0.508,frihandelsperiod,0.456,återupplifvades,0.481
69,hultsjö,0.843,utskottsval,0.508,befordringsfråga,0.456,utvecklingsstadium,0.48
70,uppwidinge,0.843,aldraförst,0.507,mecenatskap,0.456,statssamhälle,0.48
71,allgutsboda,0.843,hvälfning,0.507,brödrakrig,0.456,befordringsärende,0.48
72,ekshärads,0.842,gähle,0.506,påbegynna,0.456,tidebok,0.48
73,tillinge,0.842,cid,0.506,järtecken,0.455,synvinkel,0.48
74,malungs,0.842,grundskattefrågan,0.506,bragdrik,0.455,förfm,0.479
75,swedwi,0.841,bokant,0.505,riksdagsfråga,0.455,enan,0.479
76,gunnarsnäs,0.841,ofvanantydda,0.505,samfärdsled,0.455,krisis,0.479
77,palmqvist,0.84,chaos,0.505,utvecklingsstadium,0.455,fredagsberättelse,0.479
78,augerums,0.84,period,0.505,gestaltning,0.455,specialverk,0.479
79,thorsås,0.84,höslåtter,0.505,tidebok,0.454,gestaltning,0.479
80,borgsjö,0.84,irågor,0.505,sendet,0.454,välmaktsdagar,0.479
81,krigsbergs,0.839,konsekvent,0.505,blomstringsperiod,0.454,landtmannapartien,0.478
82,furingstad,0.839,miuistéren,0.505,crisis,0.453,särekildt,0.478
83,kuddby,0.839,aktieföretag,0.504,öfvervunnet,0.453,förutsågo,0.478
84,kimstads,0.839,kabinettsråd,0.504,omhandla,0.453,segsliten,0.477
85,ervalla,0.838,författningsfråga,0.504,puschkins,0.453,statssystem,0.477
86,gräsmarks,0.837,skolväsende,0.504,enan,0.453,reformeradt,0.477
87,sörbygdens,0.837,tidstecken,0.504,specialverk,0.452,kursfördelning,0.477
88,ledbergs,0.837,konungaätt,0.504,uppfostringsfråga,0.451,hagerups,0.477
89,hamneda,0.837,villner,0.504,öfverlägguingar,0.451,järnvägsplan,0.476
90,stenby,0.837,dansktysk,0.503,socialekonomisk,0.451,fredssakens,0.476
91,halsbergs,0.837,reformfråga,0.503,statssystem,0.451,ugnt,0.476
92,säfwar,0.837,näringsverksamhet,0.502,ärtiondena,0.451,krigsvetenskaplig,0.476
93,frälsesäteri,0.836,metafysik,0.502,stede,0.451,grundtvigska,0.475
94,restad,0.836,verldshistoriens,0.502,personalombyte,0.45,teaterhistoria,0.475
95,thensta,0.836,skråväsen,0.502,tidsperiod,0.45,mecenatskap,0.474
96,westerby,0.836,personnage,0.501,statssamhälle,0.45,jubelår,0.474
97,mellösa,0.836,fängelsesystem,0.501,flottningstid,0.449,storhetstid,0.474
98,munktorps,0.835,förskrifver,0.501,krisis,0.449,handelskretsar,0.474
99,rogberga,0.835,likbetydande,0.501,omskapande,0.449,halfseklet,0.474
