,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
25,maalle,0.639,armeijan,0.593,itäwallau,0.653,joukkojen,0.675
26,meren,0.637,venäjän,0.591,kiihko,0.652,tonkinissa,0.674
27,olleen,0.637,sardinian,0.59,sotaretki,0.652,sotajoullo,0.673
28,aikaan,0.636,kiinaan,0.59,saksanmaa,0.651,laiwaslon,0.672
29,pohjan,0.634,sardinia,0.59,pasja,0.649,sotalaiwasto,0.669
30,joukko,0.63,englanti,0.589,sotaa,0.649,meritaistelu,0.668
31,mainitaan,0.627,sotajoukon,0.587,meteli,0.649,lailvasto,0.668
32,kaupunkia,0.627,kiinan,0.584,turkin,0.647,laiivaston,0.667
33,seka,0.623,tappelu,0.582,egyptin,0.647,sotalaiwaston,0.666
34,turkkilaiset,0.621,englandin,0.582,kapinoitsijain,0.646,sotawali,0.666
35,keisarin,0.619,sotamäen,0.581,sotawoima,0.646,sotc,0.665
36,tienoilla,0.619,napoleon,0.579,eripuraisuus,0.646,ratsumäki,0.663
37,maakunnan,0.618,ranskalaisten,0.579,preussilaisten,0.646,tasawalta,0.663
38,wenäjän,0.612,prinsi,0.579,kapinan,0.645,laimaston,0.663
39,ruotsin,0.611,ministeri,0.576,intiassa,0.644,laiwastou,0.662
40,kaupunki,0.61,sota-,0.575,serbian,0.643,laimaslo,0.662
41,kansaa,0.609,persian,0.575,sotalaiwasto,0.643,sola,0.662
42,kesänä,0.608,kapinan,0.575,mihollinen,0.641,walloitus,0.661
43,kielellä,0.602,parisissa,0.573,egypti,0.64,fota*,0.661
44,meri,0.602,italian,0.571,sodan,0.639,wallankumous,0.66
45,päämies,0.601,franskan,0.571,puolaan,0.639,wallanlumous,0.659
46,kristin,0.601,kiinassa,0.567,sotalaimasto,0.639,taistelu,0.659
47,kertomus,0.6,wenäjä,0.566,osman-pasha,0.639,sodankäynti,0.658
48,paikassa,0.599,turkinmaalta,0.565,afgha,0.638,kansalaissota,0.658
49,suomen,0.599,wcnäjän,0.563,wihollinen,0.637,tasamaita,0.657
50,näissä,0.599,krimissä,0.563,venäläisten,0.635,tessaliassa,0.657
51,ensimmäinen,0.597,europa,0.563,turkkilainen,0.635,armeijamme,0.657
52,suuri,0.592,krimin,0.563,turkinmaalla,0.635,kuubassa,0.657
53,peräti,0.59,sotajoukkoja,0.562,karlistain,0.635,sotajoukon,0.655
54,iso,0.59,pariisissa,0.559,englandin,0.633,tykistö,0.654
55,kaupungissa,0.585,itämältä,0.559,neapelin,0.633,sotalaimasto,0.653
56,aikoina,0.585,ranska,0.557,puolassa,0.633,laiwaston,0.653
57,kaukana,0.584,valtakunnassa,0.556,kapinoita,0.633,espanjalaisten,0.651
58,melkein,0.582,englantilaisia,0.556,kabulissa,0.632,sotamoima,0.65
59,muonna,0.582,liit,0.556,tappelu,0.632,ratsumäti,0.65
60,asukkaat,0.581,kenraali,0.554,sola,0.631,laimaslon,0.649
61,pidettiin,0.58,rauha,0.553,sotaan,0.63,ratsuwäli,0.649
62,puolella,0.58,itäwallan,0.553,kahakka,0.63,lupina,0.648
63,siellä,0.579,puolan,0.551,bazaine,0.629,turkkilaisten,0.647
64,englannin,0.578,eng,0.55,valloitus,0.629,laiwaslo,0.645
65,uusia,0.578,sodan,0.549,konstantinopelissa,0.629,derwishien,0.645
66,yhteinen,0.573,turkkilaisia,0.548,serbia,0.629,jaapanilaisten,0.645
67,nähtiin,0.571,ranskan,0.547,aselepo,0.629,aselepo,0.644
68,tietoja,0.557,tanskan,0.546,italian,0.628,sotatila,0.644
69,joen,0.555,valtakunnan,0.546,kapinaa,0.628,sotaväki,0.644
70,mereen,0.549,keisaria,0.54,suitani,0.627,laapanin,0.643
71,hallituksen,0.549,meteli,0.537,malloitus,0.626,turkkilaisien,0.643
72,kaarlo,0.548,pääkaupungissa,0.537,keisarikunta,0.625,sudanissa,0.643
73,kuulumat,0.547,turkki,0.537,espanja,0.625,tykistön,0.641
74,ihmisiä,0.543,aasiassa,0.535,bul,0.625,armeijassa,0.641
75,helsingin,0.542,kuningasta,0.535,italialaisten,0.623,espanjan,0.641
76,seassa,0.54,preussi,0.533,preussi,0.622,verilöyly,0.64
77,tapaus,0.539,tap,0.533,turtin,0.622,kiinalaisten,0.64
78,tauti,0.535,danskan,0.532,hyökkäys,0.622,tonkingissa,0.64
79,muutamia,0.533,niemellä,0.531,prenssin,0.621,sotaministeriossa,0.639
80,nähty,0.532,sodasta,0.53,liitto,0.62,pharsalassa,0.639
81,seura,0.53,ruh,0.529,weuäjä,0.619,laiwasto,0.639
82,muutamat,0.529,semastopolin,0.528,gambetta,0.619,jouttojen,0.638
83,wal,0.526,kuningatar,0.528,syrian,0.619,sotalaimaston,0.637
84,maasa,0.525,mesille,0.527,kapinallisten,0.618,ylipäällillö,0.636
85,yhdessä,0.524,hallitusta,0.526,franskalaisten,0.618,kiinan,0.636
86,sanomia,0.521,saksanmaalta,0.524,linnoitus,0.617,koreassa,0.636
87,erinomaisesti,0.52,venäläisten,0.519,laiwaston,0.617,dermishien,0.636
88,kau,0.519,lord,0.519,itäwallan,0.616,laiwastojen,0.635
89,sangen,0.514,preussin,0.517,englantilaisten,0.616,sotalaivaston,0.634
90,maalla,0.514,franska,0.515,valtakunta,0.613,piiritys,0.634
91,hiippakunnan,0.513,keisarin,0.515,tnrkin,0.612,rauhanteko,0.634
92,seuraama,0.512,laisten,0.514,europalainen,0.612,japani,0.634
93,puo,0.51,liittokunnan,0.514,serwian,0.61,jalkamäki,0.633
94,maan,0.51,sodassa,0.513,fota,0.61,sotamäleä,0.633
95,niissä,0.509,sotajoukot,0.512,tanskalaisten,0.608,kreikka,0.632
96,tapahtui,0.509,pääkaupunkiin,0.509,englandi,0.608,sotavoima,0.632
97,joiden,0.508,vihollisen,0.509,maltakunta,0.608,fota,0.632
98,kin,0.506,paamin,0.508,meksikossa,0.607,egyptissä,0.632
99,löytyi,0.505,ruotsi,0.506,bosniassa,0.607,japanin,0.632
