,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
62,hallituksen,0.505,nimitetty,0.528,annettu,0.504,lonlurssisääntö,0.544
63,seu,0.504,talousseura,0.527,scuaati,0.502,kuninkaallinen,0.543
64,seura,0.502,keisari,0.525,homioikeus,0.502,senatl,0.543
65,wilhelm,0.502,suotu,0.524,seuaati,0.5,teettinsa,0.542
66,suomessa,0.502,kuulutus,0.523,majest,0.5,mahwistanut,0.542
67,lääniin,0.501,howi,0.522,majes,0.498,alamaisesta,0.542
68,puolan,0.5,senaatissa,0.519,majcstccti,0.498,majesteetilla,0.54
69,fredrik,0.498,pyynnöstä,0.519,hymälsynyt,0.497,majestcti,0.538
70,seurakuntaan,0.496,nikolai,0.514,maanmittauksen,0.496,sisääntö,0.535
71,muonna,0.495,annettu,0.51,alamaiscsti,0.496,konkurssisääntö,0.535
72,i6,0.493,osoittanut,0.508,koulutoimen,0.496,julistuksella,0.534
73,nils,0.491,keisarille,0.506,majestcetinsa,0.494,nitari,0.534
74,olema,0.49,keisarinna,0.506,konkurssisäännössä,0.493,majesteli,0.534
75,magister,0.49,määrätty,0.504,majcstcctinsa,0.492,kunint,0.533
76,samana,0.488,alamaisuudessa,0.503,majestcctinsa,0.491,afetus,0.532
77,vice,0.488,säätää,0.501,teetinsa,0.49,lonlurssisäännössä,0.532
78,talonpojan,0.487,muistoksi,0.501,keisarilliseu,0.489,wllhwistanut,0.529
79,erik,0.487,aleksander,0.499,scnaati,0.487,majcsteti,0.528
80,kappalaiseksi,0.486,sittenkuin,0.497,anncttn,0.487,senatille,0.527
81,kir,0.486,ilmoitettu,0.496,konkurssisääntö,0.485,fenaati,0.527
82,kaupunkiin,0.481,asetus,0.496,anncttu,0.485,armollisen,0.527
83,magisteri,0.481,juhlallisesti,0.495,määräuuyt,0.485,alamaiscsti,0.527
84,toisena,0.478,sallinut,0.491,maj.,0.484,teis,0.526
85,ran,0.477,kotomaalta,0.49,armoll,0.484,virallisesti,0.526
86,tässä,0.476,piispa,0.489,päätöksellä,0.483,wirallisesli,0.526
87,gustaf,0.475,senaatin,0.487,majcsteetinsa,0.48,aietus,0.525
88,eric,0.473,senaattinsa,0.487,armollisen,0.478,seuaati,0.525
89,wuonna,0.471,jäseneksi,0.484,howioiteus,0.477,mahmislanut,0.525
90,kirkon,0.471,rännyt,0.483,senaali,0.476,päimäkäslyllä,0.524
91,kau,0.471,keisarin,0.48,anuettu,0.475,kellarillisen,0.523
92,sota,0.47,lahjoittanut,0.479,majcs,0.475,scuaatiu,0.523
93,päiwä,0.468,kreiwi,0.477,lääninhallitus,0.471,scuati,0.522
94,kaupunkin,0.468,aleksanteri,0.471,tehdystä,0.47,senaalin,0.522
95,kaupungin,0.466,ministeri,0.47,alamaisesti,0.469,päätöksellään,0.522
96,gabriel,0.463,lviime,0.466,howioikcus,0.469,scnaati,0.522
97,kappalaisen,0.462,tuomio,0.465,postitirehtöri,0.468,xci,0.521
98,jacob,0.462,maaherra,0.465,hovioikeus,0.466,senaatille,0.521
99,kirkkoherran,0.461,kreimi,0.463,aunettu,0.466,ulaasi,0.52
